IL;cation;anion;xCO2 ref;T (K);P (bar);[CH3];[CH2];[CH];[OCH2];[OCH3];[CF2];[CF3];[OH];CH=CH;CH=CH2;[Im13];[MIm];[MMIM];[Py];[MPy];[MPyrro];[MPip];[NH3];[NH2];[NH];[N];[P];[S];[BF4];[Cl];[DCA];[NO3];[PF6];[SCN];[TCB];[C(CN)3];[HSO4];[FSA];[Tf2N];[BETA];[FOR];[TFA];[C3F7CO2];[MeSO4];[EtSO4];[MDEGSO4];[MeSO3];[TfO];[NfO];[TDfO];[TOS];[C12PhSO3];[DMPO4];[DEPO4];[DBPO4];[methide]
[BMIM][BF4];[BMIM];[BF4];0.61;363.15;246;1;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
[BMIM][BF4];[BMIM];[BF4];0.141;293.25;10.5;1;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
[(ETO)2IM][Tf2N];[(ETO)2IM];[Tf2N];0.812;322.15;328.6;2;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
[BMIM][NO3];[BMIM];[NO3];0.4704;313.2;93.16;1;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
[N4,1,1,1][C3F7CO2];[N4,1,1,1];[C3F7CO2];;293;100;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
[N4,1,1,1][C3F7CO2];[N4,1,1,1];[C3F7CO2];;293;10;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
[N4,1,1,1][C3F7CO2];[N4,1,1,1];[C3F7CO2];;350;100;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
[N4,1,1,1][C3F7CO2];[N4,1,1,1];[C3F7CO2];;350;10;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
[N4,1,1,1][methide];[N4,1,1,1];[methide];;293;100;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
[N4,1,1,1][methide];[N4,1,1,1];[methide];;293;10;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
[N4,1,1,1][methide];[N4,1,1,1];[methide];;350;100;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
[N4,1,1,1][methide];[N4,1,1,1];[methide];;350;10;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
[N4,1,1,1][PF6];[N4,1,1,1];[PF6];;293;100;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
[N4,1,1,1][PF6];[N4,1,1,1];[PF6];;293;10;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
[N4,1,1,1][PF6];[N4,1,1,1];[PF6];;350;100;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
[N4,1,1,1][PF6];[N4,1,1,1];[PF6];;350;10;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
