Longueur d'onde;Absorbance
3.3E-7;0.6112
3.32E-7;0.6402
3.34E-7;0.6515
3.36E-7;0.6795
3.38E-7;0.7035
3.4E-7;0.7186
3.42E-7;0.7422
3.44E-7;0.7631
3.46E-7;0.7794
3.48E-7;0.7896
3.5E-7;0.7998
3.52E-7;0.8105
3.54E-7;0.8197
3.56E-7;0.8277
3.58E-7;0.834
3.6E-7;0.8353
3.62E-7;0.8359
3.64E-7;0.8305
3.66E-7;0.8248
3.68E-7;0.8191
3.7E-7;0.8057
3.72E-7;0.7926
3.74E-7;0.7804
3.76E-7;0.7694
3.78E-7;0.7602
3.8E-7;0.7483
3.82E-7;0.7212
3.84E-7;0.7085
3.86E-7;0.6902
3.88E-7;0.6757
3.9E-7;0.6557
3.92E-7;0.6352
3.94E-7;0.6139
3.96E-7;0.5918
3.98E-7;0.5683
4E-7;0.5428
4.02E-7;0.5236
4.04E-7;0.4961
4.06E-7;0.4651
4.08E-7;0.4275
4.1E-7;0.3934
4.12E-7;0.3565
4.14E-7;0.3209
4.16E-7;0.2818
4.18E-7;0.251
4.2E-7;0.2224
4.22E-7;0.1972
4.24E-7;0.1742
4.26E-7;0.1584
4.28E-7;0.1453
4.3E-7;0.1356
4.32E-7;0.1287
4.34E-7;0.1249
4.36E-7;0.122
4.38E-7;0.1212
4.4E-7;0.1217
4.42E-7;0.1231
4.44E-7;0.1246
4.46E-7;0.1276
4.48E-7;0.1311
4.5E-7;0.1348
4.52E-7;0.1389
4.54E-7;0.1441
4.56E-7;0.1496
4.58E-7;0.1567
4.6E-7;0.1636
4.62E-7;0.1711
4.64E-7;0.1791
4.66E-7;0.1904
4.68E-7;0.2007
4.7E-7;0.2129
4.72E-7;0.2246
4.74E-7;0.2397
4.76E-7;0.2542
4.78E-7;0.2692
4.8E-7;0.2911
4.82E-7;0.3088
4.84E-7;0.3306
4.86E-7;0.3507
4.88E-7;0.3724
4.9E-7;0.3951
4.92E-7;0.4219
4.94E-7;0.4467
4.96E-7;0.4736
4.98E-7;0.5001
5E-7;0.5394
5.02E-7;0.5732
5.04E-7;0.6056
5.06E-7;0.639
5.08E-7;0.6722
5.1E-7;0.7113
5.12E-7;0.7456
5.14E-7;0.7945
5.16E-7;0.8309
5.18E-7;0.8663
5.2E-7;0.9055
5.22E-7;0.9411
5.24E-7;0.9783
5.26E-7;1.0151
5.28E-7;1.0635
5.3E-7;1.1034
5.32E-7;1.1361
5.34E-7;1.171
5.36E-7;1.2036
5.38E-7;1.2465
5.4E-7;1.2818
5.42E-7;1.3112
5.44E-7;1.3405
5.46E-7;1.3663
5.48E-7;1.3984
5.5E-7;1.4208
5.52E-7;1.4371
5.54E-7;1.4498
5.56E-7;1.4587
5.58E-7;1.4638
5.6E-7;1.4617
5.62E-7;1.4536
5.64E-7;1.4402
5.66E-7;1.4133
5.68E-7;1.3883
5.7E-7;1.3543
5.72E-7;1.3204
5.74E-7;1.2673
5.76E-7;1.2251
5.78E-7;1.1796
5.8E-7;1.1262
5.82E-7;1.0567
5.84E-7;1.0071
5.86E-7;0.9552
5.88E-7;0.9077
5.9E-7;0.8414
5.92E-7;0.7909
5.94E-7;0.7472
5.96E-7;0.6882
5.98E-7;0.6476
6E-7;0.609
6.02E-7;0.5686
6.04E-7;0.5233
6.06E-7;0.4933
6.08E-7;0.4627
6.1E-7;0.4254
6.12E-7;0.4009
6.14E-7;0.3739
6.16E-7;0.3414
6.18E-7;0.3192
6.2E-7;0.2973
6.22E-7;0.2697
6.24E-7;0.2514
6.26E-7;0.2265
6.28E-7;0.2087
6.3E-7;0.1934
6.32E-7;0.1736
6.34E-7;0.1595
6.36E-7;0.1471
6.38E-7;0.1311
6.4E-7;0.1196
6.42E-7;0.1056
6.44E-7;0.0975
6.46E-7;0.0912
6.48E-7;0.082
6.5E-7;0.0769
6.52E-7;0.0705
6.54E-7;0.0662
6.56E-7;0.0628
6.58E-7;0.0589
6.6E-7;0.057
6.62E-7;0.0542
6.64E-7;0.0523
6.66E-7;0.0507
6.68E-7;0.049
6.7E-7;0.0477
6.72E-7;0.0473
6.74E-7;0.0466
6.76E-7;0.0461
6.78E-7;0.0454
6.8E-7;0.0446
6.82E-7;0.0448
6.84E-7;0.044
6.86E-7;0.0438
6.88E-7;0.0436
6.9E-7;0.0433
6.92E-7;0.0427
6.94E-7;0.0429
6.96E-7;0.0426
6.98E-7;0.0423
7E-7;0.0425
7.02E-7;0.0419
7.04E-7;0.042
7.06E-7;0.042
7.08E-7;0.0415
7.1E-7;0.0409
7.12E-7;0.0417
7.14E-7;0.0414
7.16E-7;0.041
7.18E-7;0.0408
7.2E-7;0.0408
7.22E-7;0.0407
7.24E-7;0.0403
7.26E-7;0.0406
7.28E-7;0.0405
7.3E-7;0.0405
7.32E-7;0.0398
7.34E-7;0.0395
7.36E-7;0.0395
7.38E-7;0.0396
7.4E-7;0.039
7.42E-7;0.0395
7.44E-7;0.0391
7.46E-7;0.0393
7.48E-7;0.0393
7.5E-7;0.0389
7.52E-7;0.0392
7.54E-7;0.0388
