iState  State   lambda/nm    fe     S^2
1:    Singlet-A   408.55   0.0089   0.000
2:    Singlet-A   345.42   0.2125   0.000
3:    Singlet-A   330.30   0.0140   0.000
4:    Singlet-A   305.73   0.0001   0.000
5:    Singlet-A   295.97   0.0137   0.000
6:    Singlet-A   282.91   0.0036   0.000
7:    Singlet-A   278.77   0.5178   0.000
8:    Singlet-A   265.37   0.0005   0.000
9:    Singlet-A   264.15   0.0567   0.000
10:   Singlet-A   240.26   0.0083   0.000
11:   Singlet-A   239.21   0.0163   0.000
12:   Singlet-A   233.55   0.4081   0.000
13:   Singlet-A   232.11   0.0596   0.000
14:   Singlet-A   220.96   0.0013   0.000
15:   Singlet-A   218.82   0.0892   0.000
16:   Singlet-A   215.86   0.1649   0.000
17:   Singlet-A   211.66   0.0828   0.000
18:   Singlet-A   208.42   0.0051   0.000
19:   Singlet-A   204.89   0.0459   0.000
20:   Singlet-A   200.75   0.0015   0.000
21:   Singlet-A   198.52   0.0077   0.000
22:   Singlet-A   197.17   0.0001   0.000
23:   Singlet-A   195.75   0.0080   0.000
24:   Singlet-A   195.18   0.0571   0.000
25:   Singlet-A   193.48   0.0762   0.000
26:   Singlet-A   192.24   0.4324   0.000
27:   Singlet-A   191.53   0.1036   0.000
28:   Singlet-A   189.26   0.0548   0.000
29:   Singlet-A   188.00   0.0147   0.000
30:   Singlet-A   187.60   0.0224   0.000
