iState  State   lambda/nm    fe     S^2
1:    Singlet-A   372.49   0.0082   0.000
2:    Singlet-A   334.24   0.0008   0.000
3:    Singlet-A   315.07   0.1476   0.000
4:    Singlet-A   306.75   0.0001   0.000
5:    Singlet-A   292.74   0.0459   0.000
6:    Singlet-A   271.44   0.0004   0.000
7:    Singlet-A   267.87   0.0067   0.000
8:    Singlet-A   263.76   0.3928   0.000
9:    Singlet-A   260.60   0.0396   0.000
10:   Singlet-A   244.04   0.0130   0.000
11:   Singlet-A   239.20   0.0028   0.000
12:   Singlet-A   230.74   0.3587   0.000
13:   Singlet-A   229.10   0.0474   0.000
14:   Singlet-A   216.54   0.1362   0.000
15:   Singlet-A   213.79   0.1082   0.000
16:   Singlet-A   211.13   0.0102   0.000
17:   Singlet-A   209.87   0.0020   0.000
18:   Singlet-A   206.64   0.0020   0.000
19:   Singlet-A   202.17   0.0261   0.000
20:   Singlet-A   200.76   0.0366   0.000
21:   Singlet-A   198.98   0.0013   0.000
22:   Singlet-A   197.81   0.0130   0.000
23:   Singlet-A   197.09   0.0031   0.000
24:   Singlet-A   196.36   0.0287   0.000
25:   Singlet-A   192.76   0.0133   0.000
26:   Singlet-A   191.30   0.1297   0.000
27:   Singlet-A   190.15   0.0197   0.000
28:   Singlet-A   189.98   0.0733   0.000
29:   Singlet-A   188.54   0.0122   0.000
30:   Singlet-A   188.09   0.2048   0.000
