uranium_lead_ratio,carbon_14_ratio,radioactive_decay_series,stratigraphic_layer_depth,geological_period,paleomagnetic_data,inclusion_of_other_fossils,isotopic_composition,surrounding_rock_type,stratigraphic_position,fossil_size,fossil_weight,age
0.738061228375223,0.487707242182582,0.907883587421823,91.17,Cretaceous,Normal polarity,False,0.915951388402641,Conglomerate,Middle,50.65,432,43523
0.560096206249121,0.341738054347355,1.12130157338809,165.44,Cambrian,Normal polarity,False,0.803968019797279,Limestone,Top,48.85,353.29,44112
0.424772774270263,0.218493468999214,0.103855459095781,218.98,Cambrian,Normal polarity,True,0.792440506248246,Shale,Bottom,37.66,371.33,43480
0.349958131033353,0.704649188650421,0.383616735701137,51.09,Permian,Normal polarity,True,0.0746363778059944,Limestone,Bottom,39.1,232.84,30228
0.886811241917779,0.777493825978112,0.593253814127691,313.72,Devonian,Normal polarity,True,1.64664045421483,Shale,Top,90.84,277.67,67217
1.07909906360452,0.589527244883022,0.573466048809056,164.37,Jurassic,Normal polarity,True,1.39157325489786,Limestone,Bottom,51.89,312.85,77800
0.467578777749676,0.657890266682576,0.20516952693387,197.56,Cambrian,Normal polarity,True,0.514012374547961,Limestone,Bottom,43.12,426.17,47130
0.344963827393123,0.872660588442699,0.688771882060776,136.4,Neogene,Normal polarity,True,0.00367176714311457,Conglomerate,Bottom,96.82,454.15,35982
0.407311411612632,0.793969051994463,0.184602468947685,103.81,Devonian,Normal polarity,True,0.690426715400578,Conglomerate,Top,44.56,208.19,30105
0.3026387531951,0.0282245906653836,0.338870360245516,215.61,Cambrian,Normal polarity,True,0.0164926801755912,Sandstone,Middle,98.64,157.63,28568
0.286800145575418,0.525514587717222,0.610044099536123,136.32,Triassic,Reversed polarity,False,1.28033535006126,Sandstone,Bottom,51.88,651.58,33178
0.642354016331068,0.160137404279056,0.62340966190728,311.1,Paleogene,Reversed polarity,True,0.397614910121071,Sandstone,Bottom,63.44,491.3,59091
0.251211218323173,0.239688974585174,0.720387595939435,8.52,Cretaceous,Reversed polarity,True,1.15175928968896,Limestone,Bottom,54.7,540.59,20152
0.410208767024754,0.458858473633206,0.741932037046073,104.72,Devonian,Reversed polarity,True,0.703329626265352,Sandstone,Bottom,49.64,167.69,41307
0.570376353421554,0.372953582117667,0.331621195225512,164.77,Cambrian,Normal polarity,False,1.47792662823451,Shale,Middle,5.73,254.35,40775
0.453596546475781,0.683556590462698,1.19896577606675,173.53,Cambrian,Normal polarity,True,0.844175026321094,Sandstone,Bottom,45.5,69.89,50643
0.651235675157787,0.460631933766197,0.25424093294984,419.26,Paleogene,Normal polarity,True,0.567583294845227,Shale,Bottom,156.99,399.97,65430
0.824781350556643,0.404505403813899,0.649999201517615,174.75,Triassic,Reversed polarity,False,0.607605769707824,Limestone,Middle,111.2,200.39,55327
0.401405842372647,0.46925981106042,0.826863924261424,119.34,Cambrian,Reversed polarity,False,0.975198272603206,Conglomerate,Bottom,119.44,452.49,41398
0.0815957063190884,0.173781634304976,0.135301385908886,78.95,Triassic,Normal polarity,True,0.956284682046427,Sandstone,Bottom,28.92,83.64,11816
0.652862441701881,0.569679088869942,1.01489000304772,91.6,Permian,Normal polarity,True,0.932900988924633,Sandstone,Middle,44.51,537.09,42547
0.386308023567713,0.276316710623854,0.566714108574109,165.14,Devonian,Normal polarity,False,2.06010676129757,Limestone,Bottom,57.32,580.33,39797
0.583165105480867,0.414013962951864,0.473265035056942,277.79,Paleogene,Normal polarity,True,1.61087786221535,Sandstone,Bottom,116.06,160.98,53135
0.757499074629508,0.436189281935128,0.417055788951324,217.25,Permian,Reversed polarity,True,1.11495487886602,Conglomerate,Middle,61.81,152.84,54006
0.832272080646077,0.213520683161823,0.435672718947101,66.17,Paleogene,Normal polarity,False,0.668317968321084,Limestone,Bottom,88.25,293.94,52191
0.568272440939017,0.627097779107181,0.702990707957717,90.03,Triassic,Normal polarity,False,0.484355887761259,Sandstone,Bottom,139.61,287.67,44370
0.26426017295002,0.214448223979751,0.699159018437849,260.63,Triassic,Reversed polarity,True,0.835262234636462,Sandstone,Bottom,40.64,462.87,39416
0.485778227908422,0.107494984410284,0.827021467014875,52.51,Jurassic,Normal polarity,True,1.33479198546057,Sandstone,Middle,49.2,9.14,30070
0.679483157750051,0.433737886012105,0.989049969989924,386.44,Paleogene,Normal polarity,True,0.41255893795094,Limestone,Bottom,65.27,226.88,66991
0.297765020538764,0.012749406111654,0.103822230070031,65.11,Cretaceous,Normal polarity,True,0.405554248825491,Conglomerate,Bottom,37.61,404.54,19075
0.865732809185059,0.690827823528376,0.218677193703572,289.68,Neogene,Normal polarity,True,1.36919065781799,Shale,Middle,64.76,312.4,58651
