	F	order
F_00000	P	2
F_00001	P	5
F_00002	P	4
F_00003	P	2
F_00004	P	2
F_00005	P	2
F_00006	P	1
F_00007	P	4
F_00008	P	1
F_00009	P	3
F_00010	P	1
F_00011	P	5
F_00012	P	1
F_00013	P	1
F_00014	P	2
F_00015	P	4
F_00016	P	5
F_00017	P	4
F_00018	P	2
F_00019	P	4
F_00020	P	1
F_00021	P	1
F_00022	P	2
F_00023	P	2
F_00024	P	3
F_00025	P	2
F_00026	P	2
F_00027	P	5
F_00028	P	4
F_00029	P	3
F_00030	P	5
F_00031	P	1
F_00032	P	1
F_00033	P	1
F_00034	P	4
F_00035	P	4
F_00036	P	3
F_00037	P	4
F_00038	P	2
F_00039	P	1
F_00040	P	5
F_00041	P	3
F_00042	P	2
F_00043	P	5
F_00044	P	4
F_00045	P	1
F_00046	P	4
F_00047	P	4
F_00048	P	5
F_00049	P	5
F_00050	P	1
F_00051	P	1
F_00052	P	4
F_00053	P	5
F_00054	P	5
F_00055	P	3
F_00056	P	2
F_00057	P	1
F_00058	P	3
F_00059	P	3
F_00060	P	3
F_00061	P	2
F_00062	P	2
F_00063	P	2
F_00064	P	3
F_00065	P	5
F_00066	P	4
F_00067	P	5
F_00068	P	2
F_00069	P	5
F_00070	P	4
F_00071	P	1
F_00072	P	1
F_00073	P	3
F_00074	P	3
F_00075	P	4
F_00076	P	1
F_00077	P	4
F_00078	P	3
F_00079	P	2
F_00080	P	2
F_00081	P	5
F_00082	P	1
F_00083	P	4
F_00084	P	1
F_00085	P	3
F_00086	P	3
F_00087	P	4
F_00088	P	3
F_00089	P	4
F_00090	P	4
F_00091	P	5
F_00092	P	1
F_00093	P	5
F_00094	P	2
F_00095	P	3
F_00096	P	5
F_00097	P	3
F_00098	P	1
F_00099	P	1
F_00100	P	2
F_00101	P	2
F_00102	P	3
F_00103	P	5
F_00104	P	1
F_00105	P	5
F_00106	P	2
F_00107	P	2
F_00108	P	4
F_00109	P	3
F_00110	P	3
F_00111	P	3
F_00112	P	3
F_00113	P	2
F_00114	P	4
F_00115	P	2
F_00116	P	1
F_00117	P	3
F_00118	P	1
F_00119	P	3
F_00120	P	4
F_00121	P	5
F_00122	P	2
F_00123	P	5
F_00124	P	3
F_00125	P	5
F_00126	P	5
F_00127	P	1
F_00128	P	2
F_00129	P	3
F_00130	P	2
F_00131	P	2
F_00132	P	4
F_00133	P	4
F_00134	P	1
F_00135	P	1
F_00136	P	4
F_00137	P	2
F_00138	P	5
F_00139	P	5
F_00140	P	3
F_00141	P	2
F_00142	P	3
F_00143	P	1
F_00144	P	3
F_00145	P	5
F_00146	P	3
F_00147	P	3
F_00148	P	4
F_00149	P	4
F_00150	P	3
F_00151	P	2
F_00152	P	3
F_00153	P	4
F_00154	P	4
F_00155	P	4
F_00156	P	4
F_00157	P	2
F_00158	P	2
F_00159	P	3
F_00160	P	4
F_00161	P	5
F_00162	P	5
F_00163	P	3
F_00164	P	5
F_00165	P	3
F_00166	P	2
F_00167	P	1
F_00168	P	4
F_00169	P	1
F_00170	P	1
F_00171	P	2
F_00172	P	2
F_00173	P	3
F_00174	P	3
F_00175	P	2
F_00176	P	5
F_00177	P	4
F_00178	P	5
F_00179	P	1
F_00180	P	5
F_00181	P	5
F_00182	P	3
F_00183	P	4
F_00184	P	3
F_00185	P	4
F_00186	P	1
F_00187	P	1
F_00188	P	4
F_00189	P	2
F_00190	P	4
F_00191	P	2
F_00192	P	4
F_00193	P	1
F_00194	P	1
F_00195	P	5
F_00196	P	2
F_00197	P	5
F_00198	P	4
F_00199	P	3
F_00200	P	5
F_00201	P	2
F_00202	P	5
F_00203	P	1
F_00204	P	1
F_00205	P	5
F_00206	P	3
F_00207	P	3
F_00208	P	4
F_00209	P	5
F_00210	P	2
F_00211	P	4
F_00212	P	3
F_00213	P	5
F_00214	P	3
F_00215	P	5
F_00216	P	1
F_00217	P	1
F_00218	P	4
F_00219	P	5
F_00220	P	1
F_00221	P	5
F_00222	P	3
F_00223	P	2
F_00224	P	4
F_00225	P	5
F_00226	P	4
F_00227	P	4
F_00228	P	3
F_00229	P	5
F_00230	P	5
F_00231	P	5
F_00232	P	4
F_00233	P	2
F_00234	P	5
F_00235	P	1
F_00236	P	1
F_00237	P	4
F_00238	P	4
F_00239	P	3
F_00240	P	3
F_00241	P	5
F_00242	P	1
F_00243	P	4
F_00244	P	1
F_00245	P	5
F_00246	P	3
F_00247	P	5
F_00248	P	4
F_00249	P	2
F_00250	P	2
F_00251	P	2
F_00252	P	2
F_00253	P	2
F_00254	P	1
F_00255	P	4
F_00256	P	4
F_00257	P	1
F_00258	P	5
F_00259	P	4
F_00260	P	3
F_00261	P	4
F_00262	P	3
F_00263	P	4
F_00264	P	4
F_00265	P	2
F_00266	P	1
F_00267	P	1
F_00268	P	4
F_00269	P	4
F_00270	P	2
F_00271	P	5
F_00272	P	5
F_00273	P	2
F_00274	P	1
F_00275	P	2
F_00276	P	5
F_00277	P	4
F_00278	P	5
F_00279	P	1
F_00280	P	3
F_00281	P	3
F_00282	P	4
F_00283	P	1
F_00284	P	1
F_00285	P	1
F_00286	P	1
F_00287	P	3
F_00288	P	4
F_00289	P	5
F_00290	P	3
F_00291	P	3
F_00292	P	4
F_00293	P	2
F_00294	P	4
F_00295	P	1
F_00296	P	4
F_00297	P	3
F_00298	P	3
F_00299	P	4
F_00300	P	4
F_00301	P	2
F_00302	P	1
F_00303	P	1
F_00304	P	5
F_00305	P	4
F_00306	P	3
F_00307	P	3
F_00308	P	3
F_00309	P	5
F_00310	P	3
F_00311	P	1
F_00312	P	5
F_00313	P	3
F_00314	P	1
F_00315	P	1
F_00316	P	5
F_00317	P	4
F_00318	P	5
F_00319	P	3
F_00320	P	4
F_00321	P	1
F_00322	P	3
F_00323	P	5
F_00324	P	5
F_00325	P	2
F_00326	P	4
F_00327	P	4
F_00328	P	4
F_00329	P	2
F_00330	P	2
F_00331	P	2
F_00332	P	3
F_00333	P	4
F_00334	P	2
F_00335	P	4
F_00336	P	1
F_00337	P	3
F_00338	P	2
F_00339	P	1
F_00340	P	2
F_00341	P	5
F_00342	P	4
F_00343	P	5
F_00344	P	2
F_00345	P	5
F_00346	P	4
F_00347	P	5
F_00348	P	2
F_00349	P	5
F_00350	P	1
F_00351	P	4
F_00352	P	5
F_00353	P	5
F_00354	P	5
F_00355	P	2
F_00356	P	1
F_00357	P	5
F_00358	P	5
F_00359	P	5
F_00360	P	1
F_00361	P	5
F_00362	P	4
F_00363	P	4
F_00364	P	1
F_00365	P	1
F_00366	P	5
F_00367	P	3
F_00368	P	3
F_00369	P	4
F_00370	P	3
F_00371	P	5
F_00372	P	3
F_00373	P	2
F_00374	P	3
F_00375	P	1
F_00376	P	3
F_00377	P	3
F_00378	P	3
F_00379	P	1
F_00380	P	5
F_00381	P	5
F_00382	P	2
F_00383	P	3
F_00384	P	5
F_00385	P	3
F_00386	P	4
F_00387	P	1
F_00388	P	5
F_00389	P	4
F_00390	P	1
F_00391	P	1
F_00392	P	5
F_00393	P	5
F_00394	P	3
F_00395	P	4
F_00396	P	3
F_00397	P	5
F_00398	P	5
F_00399	P	2
F_00400	P	3
F_00401	P	4
F_00402	P	5
F_00403	P	4
F_00404	P	2
F_00405	P	3
F_00406	P	2
F_00407	P	1
F_00408	P	4
F_00409	P	5
F_00410	P	4
F_00411	P	4
F_00412	P	5
F_00413	P	3
F_00414	P	3
F_00415	P	5
F_00416	P	3
F_00417	P	2
F_00418	P	5
F_00419	P	2
F_00420	P	5
F_00421	P	3
F_00422	P	4
F_00423	P	2
F_00424	P	3
F_00425	P	4
F_00426	P	3
F_00427	P	2
F_00428	P	5
F_00429	P	3
F_00430	P	2
F_00431	P	4
F_00432	P	3
F_00433	P	5
F_00434	P	5
F_00435	P	2
F_00436	P	2
F_00437	P	5
F_00438	P	3
F_00439	P	2
F_00440	P	2
F_00441	P	3
F_00442	P	4
F_00443	P	2
F_00444	P	3
F_00445	P	4
F_00446	P	1
F_00447	P	1
F_00448	P	2
F_00449	P	1
F_00450	P	4
F_00451	P	5
F_00452	P	5
F_00453	P	2
F_00454	P	1
F_00455	P	3
F_00456	P	1
F_00457	P	3
F_00458	P	1
F_00459	P	1
F_00460	P	3
F_00461	P	3
F_00462	P	2
F_00463	P	5
F_00464	P	3
F_00465	P	3
F_00466	P	4
F_00467	P	1
F_00468	P	2
F_00469	P	4
F_00470	P	5
F_00471	P	3
F_00472	P	2
F_00473	P	4
F_00474	P	1
F_00475	P	3
F_00476	P	4
F_00477	P	4
F_00478	P	3
F_00479	P	2
F_00480	P	3
F_00481	P	2
F_00482	P	5
F_00483	P	5
F_00484	P	3
F_00485	P	5
