Mol1,Mol2,Mol1_fraction,EM?
Citric acid,DL glucose,0.50,YES
Lactic acid,DL glucose,0.50,YES
Urea,Choline chloride,0.50,YES
Lactic acid,Sorbitol,0.50,YES
Lactic acid,Choline chloride,0.50,YES
Malonic acid,Choline chloride,0.50,YES
Citric acid,Choline chloride,0.50,YES
Urea,Choline chloride,0.67,YES
Ethylene glycol,Choline chloride,0.67,YES
Citric acid,DL glucose,0.33,YES
Lactic acid,DL glucose,0.67,YES
Citric acid,DL glucose,0.67,YES
Citric acid,Trehalose,0.50,YES
Citric acid,Sorbitol,0.50,YES
Citric acid,Isomalt,0.50,YES
Pyroglutamic acid,Glycerol,0.50,YES
Menthol,Acetic acid,0.50,YES
Menthol,Octanoic acid,0.50,YES
Decanoic acid,Menthol,0.50,YES
Decanoic acid,Thymol,0.50,YES
Menthol,Lactic acid,0.50,YES
Menthol,Levulinic acid,0.50,YES
Thymol,Lactic acid,0.50,YES
Thymol,Octanoic acid,0.50,YES
Menthol,Pyruvic acid,0.50,YES
Pentylene glycol,Lactic acid,0.50,YES
Decanoic acid,Pentylene glycol,0.50,YES
1 3 butylene glycol,Lactic acid,0.50,YES
Decanoic acid,1 3 butylene glycol,0.50,YES
Decanol,Lactic acid,0.50,YES
2 methyl 1 3 propanediol,Lactic acid,0.50,YES
Propanediol,Lactic acid,0.50,YES
Tetradecanol,Lactic acid,0.50,YES
Dodecan 1 ol,Lactic acid,0.50,YES
Acetic acid,L proline,0.50,YES
Lactic acid,Mannose,0.50,YES
Urea,Glycerol,0.50,YES
Saccharose,Trehalose,0.50,NO
Tetradecanol,Lactic acid,0.33,YES
Decanol,Lactic acid,0.33,YES
beta D galactofuranoside octyle,Choline chloride,0.50,YES
Citric acid,Betaine,0.60,YES
Betaine,Glycerol,0.40,YES
Ethylene glycol,Choline chloride,0.75,YES
Ethylene glycol,Choline chloride,0.67,YES
Tetradecanol,Dodecanoic acid,0.50,YES
Dodecanoic acid,Panthenol,0.50,YES
Hexadecanol,Dodecanoic acid,0.50,NO
Dodecanoic acid,Decanol,0.50,YES
2 octyl 1 dodecanol,Dodecanoic acid,0.50,YES
Hexadecanol,Panthenol,0.50,NO
Octadecanol,Panthenol,0.50,NO
Hexanol,Panthenol,0.50,YES
Decanol,Panthenol,0.50,YES
