gender,years_exp,education,test_score,senior_hire
M,8.15,1,66.1,0
F,4.92,0,71.7,0
M,2.95,1,84.6,0
F,3.76,0,85.2,0
F,5.66,1,70.6,0
F,7.14,1,63.7,0
F,7.14,2,75.9,1
M,6.29,2,82.1,1
M,5.28,2,66.2,0
F,7.47,1,79.6,0
F,6.55,1,51.3,0
M,9.52,2,63.1,1
F,4.29,0,71.4,0
M,6.39,1,76.7,0
M,5.01,2,49.3,1
F,4.36,1,56.2,0
M,8.35,0,53.5,0
M,6.77,1,74.8,0
F,4.78,1,80.4,0
F,5.14,1,64.1,0
F,4.18,1,75.5,0
M,7.74,1,63.7,0
M,6.36,0,72.4,0
M,7.09,1,49.1,0
M,5.95,0,83.8,0
M,8.31,1,69.2,0
F,9.37,2,48.3,0
F,4.06,1,78.0,0
F,4.21,0,47.8,0
M,5.46,0,70.7,0
F,3.87,2,65.6,0
M,5.21,0,80.4,0
M,8.16,1,57.9,0
F,4.1,1,57.2,0
M,3.19,2,47.3,0
M,5.82,0,67.7,0
M,7.78,0,62.8,0
F,5.45,1,58.5,0
M,3.05,1,51.1,0
M,6.63,0,76.2,0
M,5.29,0,60.5,0
M,4.49,2,86.1,1
F,5.89,1,60.1,0
M,7.02,1,90.9,0
F,4.17,1,72.5,0
F,5.92,1,62.4,0
F,6.8,1,67.5,0
F,3.34,0,69.3,0
M,5.56,2,92.2,1
M,4.59,1,57.7,0
M,5.14,0,53.9,0
M,7.55,2,60.7,1
M,8.1,0,68.6,0
F,6.24,1,84.9,0
M,8.85,1,88.3,0
M,3.16,2,38.3,0
F,7.49,0,85.7,0
F,4.25,1,87.2,0
F,4.36,2,48.0,0
F,9.42,2,74.5,1
F,7.97,1,84.7,0
F,9.11,0,70.7,0
F,9.57,2,72.0,1
M,0.02,1,57.9,0
M,7.97,0,76.1,0
F,3.07,0,69.1,0
M,7.98,2,60.5,1
M,11.95,1,70.7,0
F,5.62,0,78.4,0
F,0.63,1,53.5,0
M,6.62,0,76.0,0
M,5.54,1,55.3,0
M,9.63,0,41.6,0
M,11.31,1,75.2,0
M,5.5,2,62.1,1
M,2.56,2,94.2,0
F,3.1,1,87.0,0
F,2.11,1,90.6,0
M,1.98,2,77.4,0
F,4.44,0,61.7,0
F,6.63,1,66.7,0
F,2.76,1,74.5,0
F,5.11,1,77.9,0
M,12.97,1,87.8,0
M,1.14,0,85.2,0
F,7.23,1,66.8,0
F,6.08,0,89.1,0
M,5.04,0,53.1,0
F,7.05,1,55.8,0
F,4.61,2,73.8,0
M,3.16,0,66.1,0
M,6.16,1,66.5,0
M,5.31,1,78.9,0
M,6.98,0,55.0,0
M,2.82,1,80.7,0
F,2.69,1,61.5,0
M,9.72,1,60.2,1
M,5.45,1,90.5,0
F,7.1,0,85.0,0
M,4.08,0,57.4,0
M,5.73,1,85.3,0
F,5.63,0,67.1,0
M,3.37,0,52.0,0
M,7.16,0,70.9,0
M,8.75,2,64.5,1
M,6.42,1,82.7,0
M,8.32,1,79.7,0
F,7.48,0,78.6,0
F,5.23,1,57.4,0
M,5.9,0,79.3,0
M,2.89,0,76.9,0
F,6.13,1,82.9,0
M,5.69,2,89.0,1
M,8.96,0,65.5,0
F,2.76,0,62.0,0
M,2.41,1,67.3,0
F,7.03,1,61.4,0
F,1.04,2,69.2,0
F,5.82,1,68.2,0
F,7.6,1,77.4,0
M,1.69,0,73.0,0
F,6.76,0,73.3,0
M,6.12,1,83.7,0
M,8.4,2,82.4,1
M,3.3,0,73.7,0
F,4.1,0,62.8,0
F,3.56,1,56.4,0
F,3.19,2,56.2,0
F,7.73,1,63.7,0
M,7.58,0,64.2,0
F,10.16,0,64.6,0
F,8.86,0,72.8,0
F,2.21,1,71.1,0
M,5.68,2,63.8,1
F,7.17,1,57.3,0
M,8.66,2,65.5,1
M,4.78,0,72.4,0
M,1.54,1,67.0,0
M,4.07,0,80.2,0
M,3.13,0,71.6,0
M,5.97,0,68.7,0
F,7.94,0,61.7,0
M,8.76,1,69.2,0
M,5.98,0,70.2,0
M,6.35,1,56.0,0
F,6.9,1,48.2,0
M,4.66,1,64.0,0
F,7.39,1,85.3,0
M,10.33,1,85.9,1
M,3.12,0,73.9,0
F,8.66,1,75.5,0
F,7.9,1,71.3,0
F,8.3,1,55.0,0
M,8.71,1,58.1,0
M,14.61,0,83.6,1
M,5.39,1,59.3,0
F,6.08,0,63.1,0
M,2.7,2,52.4,0
F,5.6,1,59.4,0
F,7.74,2,67.0,0
F,4.35,1,61.5,0
M,3.48,1,63.9,0
M,3.82,0,72.9,0
M,1.83,2,53.1,0
F,11.82,1,77.5,0
F,6.66,0,57.2,0
M,2.68,0,64.0,0
M,5.38,0,86.1,0
M,6.61,1,75.9,0
M,4.95,0,66.4,0
M,4.74,1,71.1,0
M,6.58,0,59.2,0
M,3.12,2,45.2,0
F,5.78,0,83.2,0
F,3.41,2,68.4,0
F,2.97,2,53.5,1
F,6.78,1,55.3,0
F,3.27,0,70.5,0
F,4.21,1,66.8,0
M,5.65,1,83.9,0
M,8.25,2,76.1,1
F,4.96,0,66.9,0
F,7.21,2,67.9,1
M,1.96,1,80.4,0
M,2.95,0,43.2,0
M,9.79,0,76.3,0
F,5.92,0,87.5,0
F,4.79,1,44.4,0
M,2.81,1,59.4,0
M,4.55,0,65.0,0
M,6.36,0,74.5,0
F,5.07,0,44.6,0
M,6.72,0,66.4,0
M,4.89,1,66.4,0
F,3.44,1,73.8,0
F,12.16,1,59.1,0
F,5.2,0,63.6,0
M,5.45,0,69.4,0
F,6.55,1,74.7,0
M,5.47,1,62.6,0
M,11.65,2,79.8,1
M,6.48,0,50.3,0
F,7.82,2,63.2,0
F,6.23,1,89.6,0
M,9.72,0,82.3,0
M,9.7,0,53.4,0
M,5.73,2,76.9,1
M,2.67,1,59.2,0
M,6.98,1,62.0,0
F,0.74,1,82.4,0
M,5.88,2,58.3,1
F,8.31,1,62.7,0
M,6.11,1,74.3,0
M,3.41,1,75.4,0
F,11.07,0,85.5,0
F,7.6,2,61.4,1
F,3.23,0,65.2,0
M,1.41,1,73.9,0
F,2.81,0,72.2,0
F,8.24,0,45.7,0
M,5.01,2,65.9,0
F,7.22,0,69.7,0
F,5.72,0,61.1,0
F,6.96,1,89.2,0
F,3.97,0,69.8,0
F,9.53,1,79.8,0
F,4.76,1,74.3,0
F,5.28,1,66.8,0
F,6.48,1,64.4,0
F,7.5,0,40.4,0
M,5.2,2,55.8,1
M,4.38,1,65.1,0
F,5.31,1,80.7,0
F,11.49,1,79.9,1
M,0.65,2,77.3,1
M,7.0,2,78.2,1
M,6.13,2,80.1,0
F,2.84,2,77.7,0
F,2.56,0,71.0,0
F,3.85,0,70.6,0
F,2.37,1,68.4,0
F,4.83,1,71.4,0
F,6.23,0,84.9,0
F,6.02,1,56.4,0
F,1.19,0,57.9,0
M,2.1,0,73.0,0
M,10.02,2,78.1,1
F,2.45,0,65.2,0
M,3.71,1,58.8,0
M,9.21,1,58.8,0
M,3.71,2,54.5,0
F,5.35,2,56.9,0
F,8.25,0,71.1,0
M,9.04,1,68.4,0
F,7.08,0,44.0,0
M,4.18,1,78.2,0
F,0.02,2,78.4,0
M,4.12,2,62.7,1
M,6.3,0,69.6,0
M,4.64,0,65.7,0
F,4.69,1,75.4,0
F,6.87,0,56.2,0
F,4.01,2,56.4,0
M,1.84,1,68.3,0
F,4.61,1,91.9,0
M,5.77,1,75.0,0
M,7.07,0,77.2,0
F,5.05,1,56.0,0
M,5.58,0,75.7,0
F,2.94,1,60.3,0
M,4.3,1,58.1,1
F,4.02,2,58.2,0
M,3.38,0,66.0,0
F,4.67,0,65.7,0
M,9.12,1,89.7,1
M,4.36,1,63.8,0
F,5.47,2,58.9,0
F,0.79,2,88.6,1
M,6.28,1,71.6,0
F,8.76,1,59.7,0
M,5.75,0,80.2,0
F,6.6,2,50.6,0
F,6.8,0,74.5,0
M,8.48,0,84.2,0
F,5.24,0,57.8,0
M,5.29,2,70.0,0
F,7.78,0,80.1,0
M,4.31,2,63.3,0
M,4.52,0,79.2,0
M,4.58,0,38.8,0
F,6.01,1,76.3,1
M,4.77,1,49.0,0
F,8.97,0,90.3,0
F,5.16,0,78.8,0
M,3.74,1,49.9,0
F,8.94,1,65.0,0
M,8.27,1,65.6,0
M,10.17,0,92.1,0
M,7.62,0,75.3,0
F,2.89,0,63.4,0
M,9.75,1,87.0,0
F,7.96,0,78.1,0
M,3.09,0,74.9,0
M,4.58,1,74.5,0
M,1.96,0,54.4,0
F,6.01,1,65.7,0
M,2.79,0,61.8,0
F,6.69,0,64.5,0
M,0.0,0,66.0,0
M,8.18,0,79.2,0
M,9.35,0,74.0,0
F,6.11,1,59.9,0
M,2.16,0,85.7,0
F,3.09,1,77.3,0
F,7.18,1,52.1,0
F,0.0,0,46.8,0
F,7.07,2,52.8,1
M,1.54,1,86.5,0
M,4.06,1,77.0,0
F,3.84,0,61.8,0
F,5.21,2,46.2,0
M,6.53,1,68.0,0
F,3.97,2,53.5,0
F,5.73,1,83.7,0
M,1.6,1,61.1,0
M,5.31,0,62.1,0
M,2.07,1,66.8,0
M,5.15,1,77.5,0
F,4.95,1,69.0,0
F,5.49,1,77.5,1
F,5.43,2,45.2,0
F,4.78,2,81.4,1
F,7.1,0,57.9,0
M,3.49,2,63.6,1
F,5.21,0,56.2,0
M,4.96,1,39.2,0
M,7.24,0,47.8,0
M,4.86,1,70.5,0
F,4.02,0,54.8,0
F,9.25,0,79.6,0
F,4.16,1,71.8,0
F,1.74,0,78.5,0
F,9.53,1,74.5,0
F,4.42,2,66.5,0
F,5.35,1,90.6,0
F,5.03,2,72.7,1
M,5.07,1,69.9,0
F,4.45,0,57.1,0
F,1.02,2,66.1,0
F,5.74,1,67.5,0
M,10.95,2,75.7,1
M,7.49,2,72.7,1
M,6.12,2,49.4,1
M,4.35,0,54.1,0
F,2.53,0,80.1,0
M,3.25,1,67.2,0
M,3.28,0,64.7,0
F,2.31,2,80.9,0
F,9.02,0,78.1,0
F,5.45,1,74.8,0
F,3.59,1,47.1,0
M,5.11,0,52.3,0
M,9.38,1,69.3,0
