gender,years_exp,education,test_score,age,career_break_months,senior_hire,hire_score
M,9.54,0,64.9,29.1,7,0,9.9
M,0.03,0,70.0,32.8,13,0,5.5
M,4.66,0,64.9,42.7,3,0,7.5
F,6.32517395982783,1,62.9,44.0,22,0,12.2
F,4.83517395982783,0,59.7,34.8,36,0,7.2
M,3.48,1,76.6,36.2,5,0,11.7
F,5.62517395982783,0,67.4,34.0,24,0,8.1
M,5.49,1,69.5,40.5,8,0,12.2
M,5.29,1,56.3,38.5,8,0,11.2
M,0.81,0,60.6,31.2,3,0,5.3
F,5.40517395982783,1,70.0,43.2,25,0,12.2
F,3.63517395982783,1,55.9,33.3,9,0,10.3
F,4.40517395982783,1,52.9,31.2,31,0,10.5
F,6.34517395982783,2,64.1,25.2,38,1,16.3
M,7.1,1,82.4,38.3,3,0,13.9
M,7.74,0,70.3,33.1,5,0,9.4
M,4.26,2,85.5,33.1,4,1,16.7
M,7.81,1,66.4,35.6,8,0,13.2
M,8.43,1,64.3,25.8,8,0,13.3
M,8.34,0,51.3,42.2,2,0,8.4
F,9.24517395982783,1,61.1,44.0,20,0,13.5
F,5.41517395982783,1,85.2,25.8,16,0,13.3
M,5.06,1,71.9,31.0,5,0,12.2
F,7.83517395982783,2,76.8,28.6,28,1,17.9
F,2.35517395982783,0,76.5,23.7,43,0,7.1
M,6.02,2,67.9,41.0,4,1,16.4
M,4.17,1,65.5,35.8,6,0,11.3
M,4.58,1,69.4,44.2,4,0,11.8
M,1.15,2,76.1,31.0,4,0,14.5
M,3.27,1,73.5,33.1,3,0,11.4
M,5.45,2,73.9,37.0,12,1,16.5
F,7.99517395982783,2,69.8,34.1,11,0,17.5
F,8.25517395982783,2,58.8,25.3,22,0,16.9
F,5.57517395982783,1,64.9,43.5,31,0,11.9
M,5.03,1,56.7,21.8,7,0,11.1
F,3.69517395982783,0,80.1,32.4,34,0,8.1
F,6.78517395982783,1,42.8,29.5,18,0,11.0
F,5.15517395982783,2,65.4,38.8,3,0,15.8
M,7.01,0,96.6,40.0,7,0,10.9
F,10.1551739598278,1,63.9,30.0,40,0,14.2
F,5.69517395982783,1,54.4,35.7,10,0,11.3
M,1.76,0,67.8,44.2,4,0,6.2
M,3.35,2,83.5,41.8,2,0,16.1
M,1.85,1,66.1,39.5,8,0,10.2
M,2.51,0,75.4,34.1,5,0,7.1
M,8.76,0,69.2,42.7,9,0,9.8
F,6.34517395982783,1,63.5,42.0,63,0,12.2
M,1.7,0,100.0,41.4,6,0,8.5
M,7.13,1,68.9,37.4,7,0,13.0
M,8.65,0,61.6,35.0,7,0,9.2
F,4.87517395982783,1,62.1,31.7,28,0,11.4
M,3.81,1,72.6,32.8,5,0,11.6
F,4.93517395982783,2,72.9,34.3,13,0,16.2
F,6.48517395982783,1,77.3,32.1,17,0,13.3
F,7.37517395982783,1,69.7,34.6,18,0,13.2
F,8.73517395982783,0,50.8,54.8,10,0,8.5
M,8.53,0,74.4,27.6,2,0,10.1
F,8.73517395982783,2,64.3,23.7,21,1,17.5
M,8.9,2,64.6,42.4,5,1,17.6
M,7.15,1,50.2,22.0,6,0,11.7
M,1.67,2,61.1,32.8,3,0,13.7
M,5.17,1,59.3,36.0,7,0,11.3
M,6.28,1,67.6,40.2,3,0,12.5
F,4.81517395982783,1,50.6,42.0,35,0,10.6
F,8.05517395982783,1,68.6,36.9,13,0,13.4
F,4.87517395982783,1,69.5,32.3,15,0,11.9
F,3.46517395982783,0,54.6,42.6,16,0,6.2
F,9.38517395982783,1,60.5,44.0,7,0,13.5
M,7.17,1,57.7,45.6,4,0,12.2
F,6.32517395982783,0,78.9,31.1,21,0,9.3
M,7.82,1,37.7,41.0,7,0,11.2
F,8.43517395982783,0,63.9,36.0,28,0,9.3
M,6.35,1,48.1,33.3,3,0,11.2
M,0.0,2,62.8,39.4,10,0,13.0
F,4.08517395982783,1,78.2,32.8,41,0,12.1
M,4.36,1,60.4,27.4,4,0,11.0
M,3.04,1,69.7,43.6,7,0,11.0
M,6.0,0,57.9,34.1,8,0,7.7
M,8.48,1,91.3,31.0,10,1,15.2
F,4.56517395982783,2,79.0,39.2,23,0,16.4
F,2.93517395982783,2,81.5,37.6,16,0,15.8
M,10.57,0,52.1,31.2,9,0,9.5
M,4.37,0,54.8,34.6,9,0,6.6
F,2.69517395982783,2,81.0,36.4,27,0,15.6
M,6.09,2,65.7,32.6,11,0,16.3
M,6.56,1,64.9,48.7,5,0,12.4
M,3.74,2,72.0,30.7,3,0,15.5
F,7.75517395982783,1,52.9,39.1,22,0,12.2
F,4.55517395982783,2,77.3,39.6,20,1,16.3
F,3.46517395982783,0,68.2,45.4,59,0,7.1
F,6.22517395982783,1,73.8,31.3,15,0,12.9
M,7.43,1,60.0,35.2,4,0,12.5
M,3.92,0,74.2,35.2,4,0,7.8
M,6.33,1,59.5,35.2,5,0,11.9
F,5.54517395982783,0,79.5,36.1,23,0,8.9
