gender,years_exp,education,test_score,age,career_break_months,senior_hire
M,9.54,0,64.9,29.1,7,0
M,0.03,0,70,32.8,13,0
M,4.66,0,64.9,42.7,3,0
F,6.32517395982783,1,62.9,44,22,0
F,4.83517395982783,0,59.7,34.8,36,0
M,3.48,1,76.6,36.2,5,0
F,5.62517395982783,0,67.4,34,24,0
M,5.49,1,69.5,40.5,8,0
M,5.29,1,56.3,38.5,8,0
M,0.81,0,60.6,31.2,3,0
F,5.40517395982783,1,70,43.2,25,0
F,3.63517395982783,1,55.9,33.3,9,0
F,4.40517395982783,1,52.9,31.2,31,0
F,6.34517395982783,2,64.1,25.2,38,1
M,7.1,1,82.4,38.3,3,0
M,7.74,0,70.3,33.1,5,0
M,4.26,2,85.5,33.1,4,1
M,7.81,1,66.4,35.6,8,0
M,8.43,1,64.3,25.8,8,0
M,8.34,0,51.3,42.2,2,0
F,9.24517395982783,1,61.1,44,20,0
F,5.41517395982783,1,85.2,25.8,16,0
M,5.06,1,71.9,31,5,0
F,7.83517395982783,2,76.8,28.6,28,1
F,2.35517395982783,0,76.5,23.7,43,0
M,6.02,2,67.9,41,4,1
M,4.17,1,65.5,35.8,6,0
M,4.58,1,69.4,44.2,4,0
M,1.15,2,76.1,31,4,0
M,3.27,1,73.5,33.1,3,0
M,5.45,2,73.9,37,12,1
F,7.99517395982783,2,69.8,34.1,11,0
F,8.25517395982783,2,58.8,25.3,22,0
F,5.57517395982783,1,64.9,43.5,31,0
M,5.03,1,56.7,21.8,7,0
F,3.69517395982783,0,80.1,32.4,34,0
F,6.78517395982783,1,42.8,29.5,18,0
F,5.15517395982783,2,65.4,38.8,3,0
M,7.01,0,96.6,40,7,0
F,10.1551739598278,1,63.9,30,40,0
F,5.69517395982783,1,54.4,35.7,10,0
M,1.76,0,67.8,44.2,4,0
M,3.35,2,83.5,41.8,2,0
M,1.85,1,66.1,39.5,8,0
M,2.51,0,75.4,34.1,5,0
M,8.76,0,69.2,42.7,9,0
F,6.34517395982783,1,63.5,42,63,0
M,1.7,0,100,41.4,6,0
M,7.13,1,68.9,37.4,7,0
M,8.65,0,61.6,35,7,0
F,4.87517395982783,1,62.1,31.7,28,0
M,3.81,1,72.6,32.8,5,0
F,4.93517395982783,2,72.9,34.3,13,0
F,6.48517395982783,1,77.3,32.1,17,0
F,7.37517395982783,1,69.7,34.6,18,0
F,8.73517395982783,0,50.8,54.8,10,0
M,8.53,0,74.4,27.6,2,0
F,8.73517395982783,2,64.3,23.7,21,1
M,8.9,2,64.6,42.4,5,1
M,7.15,1,50.2,22,6,0
M,1.67,2,61.1,32.8,3,0
M,5.17,1,59.3,36,7,0
M,6.28,1,67.6,40.2,3,0
F,4.81517395982783,1,50.6,42,35,0
F,8.05517395982783,1,68.6,36.9,13,0
F,4.87517395982783,1,69.5,32.3,15,0
F,3.46517395982783,0,54.6,42.6,16,0
F,9.38517395982783,1,60.5,44,7,0
M,7.17,1,57.7,45.6,4,0
F,6.32517395982783,0,78.9,31.1,21,0
M,7.82,1,37.7,41,7,0
F,8.43517395982783,0,63.9,36,28,0
M,6.35,1,48.1,33.3,3,0
M,0,2,62.8,39.4,10,0
F,4.08517395982783,1,78.2,32.8,41,0
M,4.36,1,60.4,27.4,4,0
M,3.04,1,69.7,43.6,7,0
M,6,0,57.9,34.1,8,0
M,8.48,1,91.3,31,10,1
F,4.56517395982783,2,79,39.2,23,0
F,2.93517395982783,2,81.5,37.6,16,0
M,10.57,0,52.1,31.2,9,0
M,4.37,0,54.8,34.6,9,0
F,2.69517395982783,2,81,36.4,27,0
M,6.09,2,65.7,32.6,11,0
M,6.56,1,64.9,48.7,5,0
M,3.74,2,72,30.7,3,0
F,7.75517395982783,1,52.9,39.1,22,0
F,4.55517395982783,2,77.3,39.6,20,1
F,3.46517395982783,0,68.2,45.4,59,0
F,6.22517395982783,1,73.8,31.3,15,0
M,7.43,1,60,35.2,4,0
M,3.92,0,74.2,35.2,4,0
M,6.33,1,59.5,35.2,5,0
F,5.54517395982783,0,79.5,36.1,23,0
M,12.56,1,81.6,35.3,3,0
F,4.00517395982783,2,78.9,51.2,10,0
F,9.23517395982783,1,74.2,32.7,28,0
F,5.64517395982783,2,75.6,43.9,40,1
F,5.45517395982783,1,35.5,30.6,15,0
M,7.3,1,78,32.1,7,0
M,7.73,0,64.7,31.5,3,0
F,8.94517395982783,0,69.1,40.9,44,0
M,6.32,1,64.6,29.8,15,0
M,4,2,51.3,26.1,1,0
F,4.43517395982783,1,61.5,35.5,38,0
M,6.77,2,75.9,36.3,5,0
M,6.95,0,85,40.9,5,0
F,9.27517395982783,2,60.5,39,19,1
M,6.55,2,57.2,31.7,5,0
M,8.15,1,85.4,31.6,2,0
M,9.29,1,57.4,33.1,5,0
F,6.18517395982783,1,92.9,34.8,21,0
M,1.79,0,68.6,32.2,15,0
F,2.82517395982783,1,57.4,44.3,20,0
M,1.91,1,79.8,26.4,9,0
M,9.48,1,88.3,43.2,4,1
F,3.65517395982783,0,50.8,36.3,21,0
F,8.85517395982783,0,86.7,35.5,27,0
M,6.96,0,64.6,37.6,5,0
F,10.0651739598278,2,85.8,39.4,8,1
M,8.01,0,63.4,30.7,4,0
M,5.24,0,49.1,36.8,3,0
M,5,0,74,32.4,6,0
M,5.71,1,79.1,33.7,2,0
F,6.21517395982783,1,93.2,32.3,11,0
F,4.44517395982783,2,88.7,22.5,14,1
F,5.69517395982783,2,76.3,27.5,38,0
F,9.79517395982783,2,65.1,32.2,17,0
F,1.51517395982783,2,61.8,46.8,8,0
M,6.15,1,64.5,37.2,5,0
M,3.23,0,58,40.7,5,0
F,6.24517395982783,2,64.7,50.2,18,1
F,7.87517395982783,0,37.5,28.4,30,0
M,5.36,1,70.1,44.1,3,0
F,7.70517395982783,0,67.7,37.5,35,0
M,1.53,2,98.8,45.2,9,1
M,8.27,0,77.1,33.5,1,0
M,3.99,1,62.2,32,6,0
M,7.06,0,74.8,35.6,7,0
M,5.96,2,53.3,35.8,5,1
M,0,1,60.8,30.6,12,0
F,3.88517395982783,1,45.6,32.4,8,0
M,6.05,0,85.2,31.3,7,0
F,9.65517395982784,0,75.1,38,26,0
M,6.22,2,53.9,39.9,8,0
F,6.41517395982783,1,67.3,28.8,6,0
F,2.24517395982783,1,79.4,38.7,41,0
M,9.08,2,73.9,44.9,3,1
M,10.02,1,72.6,33.6,5,0
F,5.84517395982783,0,57.7,31.7,17,0
M,4.95,1,60.4,31.1,4,0
M,1.45,0,69.1,33.3,5,0
M,7.71,1,79,29,4,0
M,12.26,1,58.1,33.4,3,0
M,7.29,1,54.5,37.5,3,0
F,8.93517395982783,2,81.7,29.4,14,1
F,7.13517395982783,2,56.8,32.6,28,1
F,3.31517395982783,1,80.9,24.4,31,0
F,9.11517395982783,2,70.9,40.6,19,0
F,2.68517395982783,2,78.6,31.4,15,0
M,4.97,1,88.9,34.5,12,0
M,6.2,1,76.3,42.4,7,1
F,7.98517395982783,2,77.3,45.5,43,0
M,6.54,1,57,35.9,8,0
