gender,years_exp,education,test_score,age,career_break_months,senior_hire_old,hire_score,senior_hire
M,9.54,0,64.9,29.1,7,0,9.922434159508864,0
M,0.03,0,70.0,32.8,13,0,2.835031787519009,0
M,4.66,0,64.9,42.7,3,0,8.373902391612916,0
F,6.32517395982783,1,62.9,44.0,22,0,13.446716412696343,0
F,4.83517395982783,0,59.7,34.8,36,0,2.694516602606243,0
M,3.48,1,76.6,36.2,5,0,8.497640986275364,0
F,5.62517395982783,0,67.4,34.0,24,0,7.786267786248486,0
M,5.49,1,69.5,40.5,8,0,10.977514815312835,0
M,5.29,1,56.3,38.5,8,0,10.552397684991423,0
M,0.81,0,60.6,31.2,3,0,2.940912144852841,0
F,5.40517395982783,1,70.0,43.2,25,0,13.361382929639573,0
F,3.63517395982783,1,55.9,33.3,9,0,11.286170850771812,0
F,4.40517395982783,1,52.9,31.2,31,0,10.03764837503635,0
F,6.34517395982783,2,64.1,25.2,38,0,17.91406939384998,1
M,7.1,1,82.4,38.3,3,0,14.253018684504093,0
M,7.74,0,70.3,33.1,5,0,7.072415074233524,0
M,4.26,2,85.5,33.1,4,0,16.852501568164996,1
M,7.81,1,66.4,35.6,8,0,10.635234798342003,0
M,8.43,1,64.3,25.8,8,0,14.472900602614546,0
M,8.34,0,51.3,42.2,2,0,7.661148178027494,0
F,9.24517395982783,1,61.1,44.0,20,0,12.529862252823396,0
F,5.41517395982783,1,85.2,25.8,16,0,11.309727891106032,0
M,5.06,1,71.9,31.0,5,0,14.00808267734806,0
F,7.83517395982783,2,76.8,28.6,28,0,16.98452801577631,1
F,2.35517395982783,0,76.5,23.7,43,0,5.675931335587701,0
M,6.02,2,67.9,41.0,4,0,15.058732899023543,1
M,4.17,1,65.5,35.8,6,0,11.734618371106698,0
M,4.58,1,69.4,44.2,4,0,11.878888128728157,0
M,1.15,2,76.1,31.0,4,0,14.727465223191976,0
M,3.27,1,73.5,33.1,3,0,11.641642006015767,0
M,5.45,2,73.9,37.0,12,0,20.181295201740923,1
F,7.99517395982783,2,69.8,34.1,11,0,16.070756947144684,0
F,8.25517395982783,2,58.8,25.3,22,0,15.21910152177084,0
F,5.57517395982783,1,64.9,43.5,31,0,9.703041523418161,0
M,5.03,1,56.7,21.8,7,0,11.715958845150993,0
F,3.69517395982783,0,80.1,32.4,34,0,9.712531565355699,0
F,6.78517395982783,1,42.8,29.5,18,0,10.160692064604165,0
F,5.15517395982783,2,65.4,38.8,3,0,13.47527402598886,0
M,7.01,0,96.6,40.0,7,0,8.61803756861752,0
F,10.1551739598278,1,63.9,30.0,40,0,14.851772555563302,0
F,5.69517395982783,1,54.4,35.7,10,0,12.142095322320799,0
M,1.76,0,67.8,44.2,4,0,6.71230853661039,0
M,3.35,2,83.5,41.8,2,0,14.188980585422613,0
M,1.85,1,66.1,39.5,8,0,10.016322646133439,0
M,2.51,0,75.4,34.1,5,0,6.766371618281457,0
M,8.76,0,69.2,42.7,9,0,9.661377193458026,0
F,6.34517395982783,1,63.5,42.0,63,0,13.360444535810295,0
M,1.7,0,100.0,41.4,6,0,8.297191097549366,0
M,7.13,1,68.9,37.4,7,0,13.74582712614379,0
M,8.65,0,61.6,35.0,7,0,8.772158138977783,0
F,4.87517395982783,1,62.1,31.7,28,0,11.362825777293883,0
M,3.81,1,72.6,32.8,5,0,12.24957645167708,0
F,4.93517395982783,2,72.9,34.3,13,0,12.656275340202583,0
F,6.48517395982783,1,77.3,32.1,17,0,12.014244547199311,0
F,7.37517395982783,1,69.7,34.6,18,0,11.625841671328324,0
F,8.73517395982783,0,50.8,54.8,10,0,6.645831283427231,0
M,8.53,0,74.4,27.6,2,0,8.922715497546633,0
F,8.73517395982783,2,64.3,23.7,21,0,19.858469602382705,1
M,8.9,2,64.6,42.4,5,0,15.240337768613514,1
M,7.15,1,50.2,22.0,6,0,13.025556709182961,0
M,1.67,2,61.1,32.8,3,0,9.746260456768393,0
M,5.17,1,59.3,36.0,7,0,10.066229940028451,0
M,6.28,1,67.6,40.2,3,0,12.19750613021001,0
F,4.81517395982783,1,50.6,42.0,35,0,11.122031642632471,0
F,8.05517395982783,1,68.6,36.9,13,0,14.252040139499627,0
F,4.87517395982783,1,69.5,32.3,15,0,12.889281450313765,0
F,3.46517395982783,0,54.6,42.6,16,0,4.857136835417041,0
F,9.38517395982783,1,60.5,44.0,7,0,12.002883394584781,0
M,7.17,1,57.7,45.6,4,0,13.339951762514309,0
F,6.32517395982783,0,78.9,31.1,21,0,8.302978330150687,0
M,7.82,1,37.7,41.0,7,0,7.997627353324155,0
F,8.43517395982783,0,63.9,36.0,28,0,6.424012551906955,0
M,6.35,1,48.1,33.3,3,0,8.703095427996777,0
M,0.0,2,62.8,39.4,10,0,13.39032148810753,0
F,4.08517395982783,1,78.2,32.8,41,0,11.801438452055049,0
M,4.36,1,60.4,27.4,4,0,11.788970708135537,0
M,3.04,1,69.7,43.6,7,0,9.544494707326933,0
M,6.0,0,57.9,34.1,8,0,7.3700793821534285,0
M,8.48,1,91.3,31.0,10,0,15.882180787934674,1
F,4.56517395982783,2,79.0,39.2,23,0,15.19389390047344,0
F,2.93517395982783,2,81.5,37.6,16,0,16.08613745502874,0
M,10.57,0,52.1,31.2,9,0,7.608148117866698,0
M,4.37,0,54.8,34.6,9,0,5.2948923068698575,0
F,2.69517395982783,2,81.0,36.4,27,0,14.254111191917257,0
M,6.09,2,65.7,32.6,11,0,13.252320708821921,0
M,6.56,1,64.9,48.7,5,0,12.796944961571164,0
M,3.74,2,72.0,30.7,3,0,13.971195319594553,0
F,7.75517395982783,1,52.9,39.1,22,0,11.605575217369289,0
F,4.55517395982783,2,77.3,39.6,20,0,16.650080297725733,1
F,3.46517395982783,0,68.2,45.4,59,0,7.399649331973804,0
F,6.22517395982783,1,73.8,31.3,15,0,13.609357197859488,0
M,7.43,1,60.0,35.2,4,0,11.718029030981151,0
M,3.92,0,74.2,35.2,4,0,6.307403375911694,0
M,6.33,1,59.5,35.2,5,0,11.170563578187203,0
F,5.54517395982783,0,79.5,36.1,23,0,4.962918111997856,0
M,12.56,1,81.6,35.3,3,0,13.097775055153827,0
F,4.00517395982783,2,78.9,51.2,10,0,12.88018775520511,0
F,9.23517395982783,1,74.2,32.7,28,0,11.817093324710951,0
F,5.64517395982783,2,75.6,43.9,40,0,16.91413543336079,1
F,5.45517395982783,1,35.5,30.6,15,0,7.401628869193794,0
M,7.3,1,78.0,32.1,7,0,12.353674891921221,0
M,7.73,0,64.7,31.5,3,0,10.992456595572133,0
F,8.94517395982783,0,69.1,40.9,44,0,8.597059037791063,0
M,6.32,1,64.6,29.8,15,0,13.157031136934174,0
M,4.0,2,51.3,26.1,1,0,11.723764639980248,0
F,4.43517395982783,1,61.5,35.5,38,0,10.111711864178655,0
M,6.77,2,75.9,36.3,5,0,14.797955890178837,0
M,6.95,0,85.0,40.9,5,0,8.746933848198875,0
F,9.27517395982783,2,60.5,39.0,19,0,18.553203254828706,1
M,6.55,2,57.2,31.7,5,0,11.824359153615303,0
M,8.15,1,85.4,31.6,2,0,14.921847287091715,0
M,9.29,1,57.4,33.1,5,0,13.138471204664556,0
F,6.18517395982783,1,92.9,34.8,21,0,12.407287068520327,0
M,1.79,0,68.6,32.2,15,0,2.804884291223092,0
F,2.82517395982783,1,57.4,44.3,20,0,9.574845995341654,0
M,1.91,1,79.8,26.4,9,0,9.482014581872395,0
M,9.48,1,88.3,43.2,4,0,15.386352422709408,1
F,3.65517395982783,0,50.8,36.3,21,0,5.427291270960801,0
F,8.85517395982783,0,86.7,35.5,27,0,13.700144762555746,0
M,6.96,0,64.6,37.6,5,0,7.523288745053952,0
F,10.0651739598278,2,85.8,39.4,8,0,16.991591994670173,1
M,8.01,0,63.4,30.7,4,0,8.801551269912634,0
M,5.24,0,49.1,36.8,3,0,6.4969933679435306,0
M,5.0,0,74.0,32.4,6,0,10.398375150480874,0
M,5.71,1,79.1,33.7,2,0,14.062222491829157,0
F,6.21517395982783,1,93.2,32.3,11,0,14.345329098212934,0
F,4.44517395982783,2,88.7,22.5,14,0,19.358192762353042,1
F,5.69517395982783,2,76.3,27.5,38,0,13.811060871268213,0
F,9.79517395982783,2,65.1,32.2,17,0,16.17508391441442,0
F,1.51517395982783,2,61.8,46.8,8,0,11.230435097102866,0
M,6.15,1,64.5,37.2,5,0,10.810380393688463,0
M,3.23,0,58.0,40.7,5,0,2.921627704887383,0
F,6.24517395982783,2,64.7,50.2,18,0,16.921888873542724,1
F,7.87517395982783,0,37.5,28.4,30,0,6.118141585716368,0
M,5.36,1,70.1,44.1,3,0,8.645387410994683,0
F,7.70517395982783,0,67.7,37.5,35,0,6.560428817498833,0
M,1.53,2,98.8,45.2,9,1,16.308027694900392,1
M,8.27,0,77.1,33.5,1,0,11.208253135788762,0
M,3.99,1,62.2,32.0,6,0,14.342461783383573,0
M,7.06,0,74.8,35.6,7,0,14.59372493201466,0
M,5.96,2,53.3,35.8,5,0,15.539818866551993,1
M,0.0,1,60.8,30.6,12,0,6.276923759936272,0
F,3.88517395982783,1,45.6,32.4,8,0,4.8704944184512975,0
M,6.05,0,85.2,31.3,7,0,9.524422924687672,0
F,9.65517395982784,0,75.1,38.0,26,0,8.458704789293266,0
M,6.22,2,53.9,39.9,8,0,14.052285479640629,0
F,6.41517395982783,1,67.3,28.8,6,0,10.694393381794299,0
F,2.24517395982783,1,79.4,38.7,41,0,10.399005207081144,0
M,9.08,2,73.9,44.9,3,0,19.844960461575287,1
M,10.02,1,72.6,33.6,5,0,14.406097134890688,0
F,5.84517395982783,0,57.7,31.7,17,0,6.644317305836539,0
M,4.95,1,60.4,31.1,4,0,8.631692494348377,0
M,1.45,0,69.1,33.3,5,0,2.2126341105912855,0
M,7.71,1,79.0,29.0,4,0,12.41238418185334,0
M,12.26,1,58.1,33.4,3,0,14.089434898363358,0
M,7.29,1,54.5,37.5,3,0,14.995859827159766,0
F,8.93517395982783,2,81.7,29.4,14,0,18.447136022859688,1
F,7.13517395982783,2,56.8,32.6,28,0,17.50906600196003,1
F,3.31517395982783,1,80.9,24.4,31,0,10.32199578283561,0
F,9.11517395982783,2,70.9,40.6,19,0,15.150699447079866,0
F,2.68517395982783,2,78.6,31.4,15,0,12.91435345544917,0
M,4.97,1,88.9,34.5,12,0,11.257547870928494,0
M,6.2,1,76.3,42.4,7,0,16.697939464870327,1
F,7.98517395982783,2,77.3,45.5,43,0,15.760813621465141,0
M,6.54,1,57.0,35.9,8,0,12.93697840747269,0
M,6.47,0,59.7,37.9,10,0,5.608145643825947,0
M,3.6,0,75.7,34.1,5,0,8.962146025748488,0
M,2.28,1,86.4,42.9,7,0,11.957901932211726,0
F,5.92517395982783,1,84.7,41.5,27,0,12.578311184597737,0
M,3.72,1,95.8,27.7,6,0,12.484474947729133,0
M,2.23,1,71.7,33.2,7,0,8.82442460914122,0
M,2.34,0,70.4,28.0,5,0,6.9901444029641615,0
M,4.27,0,80.1,40.0,7,0,6.83203303931844,0
F,1.14517395982783,0,68.2,43.9,20,0,2.8953754523794193,0
F,2.40517395982783,1,67.3,34.1,22,0,7.357711831274678,0
F,1.68517395982783,0,55.4,44.5,9,0,5.065762815358155,0
M,5.96,1,79.9,40.1,9,0,15.73118251282087,1
M,6.52,2,55.1,31.9,4,0,15.436983227146877,1
M,10.52,1,74.1,44.9,6,0,14.209723347780233,0
F,2.03517395982783,2,51.0,44.5,19,0,13.159239259119001,0
M,3.8,1,81.2,33.2,4,0,14.196003483413651,0
M,7.78,2,55.7,26.7,6,0,16.227765002727715,1
M,4.96,0,78.1,33.3,3,0,7.125145538332527,0
M,4.68,1,48.9,37.2,5,0,11.975577420119777,0
M,9.77,2,62.7,33.6,9,0,18.131512876923228,1
F,4.92517395982783,1,82.1,34.2,36,0,15.2810989639059,0
F,2.88517395982783,2,58.3,37.0,21,0,13.890055854357728,0
F,2.48517395982783,0,68.8,45.3,34,0,3.609648916472915,0
F,6.61517395982783,0,62.3,37.6,25,0,4.932268581422585,0
F,6.53517395982783,2,40.3,32.3,21,0,17.390442844376413,1
F,2.34517395982783,1,71.7,43.1,8,0,13.638918421480511,0
M,3.04,1,73.2,48.6,4,0,10.2849615734348,0
F,7.11517395982783,2,54.7,43.9,27,0,14.62021233764194,0
M,6.94,0,74.9,40.1,4,0,11.635888584484405,0
F,4.16517395982783,2,58.5,31.2,15,0,11.96349561582694,0
M,7.06,1,56.0,45.4,3,0,9.660545962088346,0
F,7.20517395982783,0,68.1,39.3,32,0,9.656240569292004,0
F,1.31517395982783,0,59.8,36.7,19,0,4.054376734194736,0
M,4.72,1,95.5,43.3,5,0,13.034756266559857,0
M,6.54,1,49.3,24.9,12,0,10.394114202950975,0
M,4.07,2,76.9,32.7,10,0,16.09314909759787,1
M,0.15,0,79.9,21.0,2,0,8.482963722627435,0
M,4.79,0,44.2,31.1,4,0,5.670169813803492,0
F,7.65517395982783,0,47.2,43.4,46,0,8.419464566467632,0
M,9.45,1,74.7,41.7,10,0,9.853655797937956,0
F,0.295173959827833,1,62.2,32.1,17,0,8.404150176053681,0
M,12.03,1,72.6,29.9,7,0,13.41053945941426,0
M,2.68,1,81.7,31.2,13,0,8.621373879152745,0
M,7.89,1,63.5,37.0,9,0,10.6336952661425,0
F,8.86517395982783,0,55.2,44.6,34,0,7.6283400985122904,0
F,8.23517395982783,0,35.2,42.2,33,0,8.413392064625942,0
F,6.14517395982783,2,70.5,34.3,38,0,13.354801544434789,0
F,2.87517395982783,0,56.9,33.3,13,0,5.48184996510275,0
M,7.07,2,71.8,39.7,1,0,15.592661133332843,1
M,3.71,1,70.8,32.9,4,0,10.155653811276078,0
F,0.275173959827833,0,51.4,29.5,24,0,5.741102630523125,0
M,12.57,0,88.7,33.5,5,0,13.570230874007851,0
M,7.27,0,81.0,39.9,5,0,11.979796214885488,0
F,10.3251739598278,0,78.2,45.2,40,0,10.3275756214141,0
M,3.22,1,53.8,36.5,5,0,7.984114776658595,0
M,9.17,1,63.1,33.3,11,0,12.554282366239004,0
F,9.74517395982783,1,61.4,30.8,29,0,13.65558056245636,0
M,9.39,1,63.0,36.9,8,0,13.458146716907422,0
M,5.45,0,54.5,35.5,8,0,4.371223855533268,0
M,2.49,0,73.2,36.5,4,0,6.549979563255749,0
F,5.33517395982783,2,70.8,35.4,16,0,16.080043640191725,0
M,0.0,0,72.4,47.0,7,0,10.102948075067841,0
M,1.24,1,61.9,33.2,1,0,12.70668922256334,0
M,5.73,1,83.5,31.8,2,0,11.00351329888236,0
M,3.02,1,70.3,43.5,2,0,9.856233276901648,0
F,5.36517395982783,0,35.1,48.1,20,0,2.2127029762399086,0
M,5.23,1,60.3,30.8,8,0,9.654585972073027,0
M,10.33,1,67.3,45.3,3,0,14.50721000718068,0
M,8.74,2,79.6,33.8,1,0,20.35370724177647,1
F,5.66517395982783,0,64.4,41.5,17,0,5.882419304426699,0
F,8.79517395982783,0,65.0,38.5,75,0,7.639294099778322,0
M,3.55,0,60.0,35.4,4,0,1.68042194052269,0
F,4.93517395982783,2,76.0,38.2,16,0,15.4622551388241,0
M,7.78,0,62.6,39.4,1,0,6.1471711762808745,0
