x,y
-0.000000000000000000e+00,  1.000000000000000000e+00
-5.713405241889562593e-03,  1.039579469018050428e+00
-1.607471069778229622e-02,  1.077475817422827831e+00
-2.937041913203534624e-02,  1.113636587605545403e+00
-4.496470622025728475e-02,  1.148007352734638609e+00
-6.247554000026723370e-02,  1.180531753546632867e+00
-8.163398306028596396e-02,  1.211151553214671495e+00
-1.022332304738954728e-01,  1.239806712488421780e+00
-1.241047769676678486e-01,  1.266435487409759642e+00
-1.471055072694162913e-01,  1.290974552000654585e+00
-1.711099844246711243e-01,  1.313359148386897157e+00
-1.960055065113415484e-01,  1.333523266856599943e+00
-2.216887641268828479e-01,  1.351399858347986038e+00
-2.480634840735482238e-01,  1.366921081808221583e+00
-2.750387124449432674e-01,  1.380018588754648778e+00
-3.025275303749502820e-01,  1.390623847192000939e+00
-3.304460736392086373e-01,  1.398668506783951049e+00
-3.587127729198959503e-01,  1.404084806834678290e+00
-3.872477594118157729e-01,  1.406806028196402325e+00
-4.159723980954912470e-01,  1.406766989673409185e+00
-4.448089225273388347e-01,  1.403904588834751666e+00
-4.736801527207918361e-01,  1.398158386371552542e+00
-5.025092829808807116e-01,  1.389471232238527865e+00
-5.312197302362806628e-01,  1.377789930804613761e+00
-5.597350360032755656e-01,  1.363065941110538137e+00
-5.879788169447072166e-01,  1.345256107103395049e+00
-6.158747602685231692e-01,  1.324323411407407391e+00
-6.433466610877751624e-01,  1.300237744820559538e+00
-6.703184994337963998e-01,  1.272976682330304810e+00
-6.967145549442540498e-01,  1.242526255057067930e+00
-7.224595573860496112e-01,  1.208881706207909579e+00
-7.474788711558048027e-01,  1.172048217906984879e+00
-7.716987117563183229e-01,  1.132041594722090982e+00
-7.950463919999251061e-01,  1.088888888888889239e+00
-8.174505953608124376e-01,  1.042628951708597818e+00
-8.388416735087301790e-01,  9.933128954217497197e-01
-8.591519646269881738e-01,  9.410044500953597124e-01
-8.783161286693197400e-01,  8.857802007503514652e-01
-8.962714952649932787e-01,  8.277296911343089425e-01
-9.129584195617326259e-01,  7.669553822293877499e-01
-9.283206409238592416e-01,  7.035724557746592112e-01
-9.423056391003579169e-01,  6.377084557521234265e-01
-9.548649822645332019e-01,  5.695027638882709242e-01
-9.659546612216678430e-01,  4.991059086861652228e-01
-9.755354040983599262e-01,  4.266787112315569286e-01
-9.835729659777813216e-01,  3.523912748950012164e-01
-9.900383882347381093e-01,  2.764218299489796804e-01
-9.949082227535520628e-01,  1.989554478930226633e-01
-9.981647167749483351e-01,  1.201826437856470392e-01
-9.997959548041217559e-01,  4.029788797894281321e-02
-9.997959548041217559e-01,  -4.050194878906378942e-02
-9.981647167749483351e-01,  -1.220191910767389198e-01
-9.949082227535520628e-01,  -2.040569681460571994e-01
-9.900383882347381093e-01,  -2.864208096449286090e-01
-9.835729659777813216e-01,  -3.689202005148350394e-01
-9.755354040983601482e-01,  -4.513700692562478411e-01
-9.659546612216680650e-01,  -5.335921855966838656e-01
-9.548649822645332019e-01,  -6.154164461655891039e-01
-9.423056391003579169e-01,  -6.966820298772121722e-01
-9.283206409238594636e-01,  -7.772384082284897744e-01
-9.129584195617328479e-01,  -8.569461994929318260e-01
-8.962714952649933897e-01,  -9.356778596885374499e-01
-8.783161286693197400e-01,  -1.013318207076236099e+00
-8.591519646269883959e-01,  -1.089764780673871503e+00
-8.388416735087302900e-01,  -1.164928036733859917e+00
-8.174505953608124376e-01,  -1.238731390235278340e+00
-7.950463919999253282e-01,  -1.311111111111110894e+00
-7.716987117563184340e-01,  -1.382016087120825576e+00
