Temps;Absorbance
0;0.714
3;0.7296
6;0.7123
9;0.695
12;0.6771
15;0.6629
18;0.6394
21;0.6099
24;0.5868
27;0.5643
30;0.5474
33;0.5272
36;0.5086
39;0.4934
42;0.4776
45;0.4619
48;0.4457
51;0.4287
54;0.4131
57;0.3963
60;0.3779
63;0.3618
66;0.3459
69;0.3312
72;0.3169
75;0.3031
78;0.2894
81;0.2772
84;0.264
87;0.2526
90;0.2419
93;0.2302
96;0.2194
99;0.2097
102;0.2
105;0.1905
108;0.1812
111;0.1717
114;0.1632
117;0.1543
120;0.1463
123;0.1383
126;0.1306
129;0.1237
132;0.117
135;0.1104
138;0.1042
141;0.0983
144;0.0927
147;0.0874
150;0.0824
153;0.0774
156;0.0726
159;0.0679
162;0.0632
165;0.0587
168;0.0546
171;0.0506
174;0.0466
177;0.0429
180;0.0393
183;0.0361
186;0.0327
189;0.0296
192;0.0267
195;0.024
198;0.0214
201;0.0188
204;0.0168
207;0.0145
210;0.0123
213;0.0103
216;0.0084
219;0.0063
222;0.0046
225;0.0028
228;0.001
231;-0.0005
234;-0.0019
237;-0.0035
240;-0.0049
243;-0.0062
246;-0.0074
249;-0.0086
252;-0.0099
255;-0.011
258;-0.012
261;-0.0131
264;-0.014
267;-0.0147
270;-0.0154
273;-0.0166
276;-0.0169
279;-0.0174
282;-0.0181
285;-0.0188
288;-0.0192
291;-0.0198
294;-0.0207
297;-0.0211
300;-0.0214
303;-0.0219
306;-0.0225
309;-0.023
312;-0.0236
315;-0.0237
318;-0.024
321;-0.0245
324;-0.0251
327;-0.025
330;-0.0255
333;-0.0258
336;-0.0259
339;-0.0261
342;-0.0265
345;-0.0265
348;-0.0268
351;-0.0271
354;-0.0271
357;-0.0273
360;-0.0275
