Temps;Absorbance
0;1.4096
3;1.6224
6;1.4833
9;1.5289
12;1.5249
15;1.4534
18;1.5168
21;1.5377
24;1.5504
27;1.5549
30;1.5891
33;1.6729
36;1.6858
39;1.7092
42;1.6893
45;1.6662
48;1.6572
51;1.6563
54;1.6473
57;1.6296
60;1.5993
63;1.5788
66;1.5647
69;1.5513
72;1.53
75;1.4938
78;1.478
81;1.4701
84;1.458
87;1.4363
90;1.4365
93;1.4356
96;1.3946
99;1.3544
102;1.3571
105;1.3833
108;1.3974
111;1.4056
114;1.4068
117;1.4036
120;1.4059
123;1.4205
126;1.4353
129;1.4476
132;1.4639
135;1.4859
138;1.507
141;1.5231
144;1.5241
147;1.5111
150;1.4993
153;1.4891
156;1.4798
159;1.4757
162;1.4725
165;1.4637
168;1.4507
171;1.4401
174;1.4284
177;1.4173
180;1.406
183;1.4032
186;1.4101
189;1.4232
192;1.4339
195;1.4385
198;1.4389
201;1.441
204;1.4472
207;1.4532
210;1.4617
213;1.4679
216;1.4712
219;1.4748
222;1.4777
225;1.4785
228;1.478
231;1.4759
234;1.4708
237;1.4654
240;1.4601
243;1.4561
246;1.4531
249;1.4513
252;1.4504
255;1.4498
258;1.4464
261;1.4401
264;1.4336
267;1.427
270;1.4215
273;1.4176
276;1.4131
279;1.4084
282;1.4027
285;1.3978
288;1.3957
291;1.3925
294;1.3888
297;1.3854
300;1.3821
303;1.3797
306;1.3786
309;1.3774
312;1.3749
315;1.3742
318;1.3733
321;1.3741
324;1.3755
327;1.3745
330;1.3741
333;1.3746
336;1.3738
339;1.3748
342;1.3726
345;1.3726
348;1.3722
351;1.3714
354;1.3701
357;1.3676
360;1.3648
363;1.3626
366;1.3612
369;1.3597
372;1.3576
375;1.356
378;1.354
381;1.3524
384;1.3509
387;1.35
390;1.3492
393;1.349
396;1.3493
399;1.3501
402;1.351
405;1.3505
408;1.35
411;1.3499
414;1.3492
417;1.3479
420;1.3468
423;1.3456
426;1.3447
429;1.3441
432;1.3426
435;1.3406
438;1.3387
441;1.3379
444;1.338
447;1.337
450;1.3349
453;1.333
456;1.3315
459;1.3299
462;1.328
465;1.3252
468;1.3224
471;1.3195
474;1.3175
477;1.3157
480;1.314
483;1.3124
486;1.311
489;1.3093
492;1.3073
495;1.3053
498;1.304
501;1.3024
504;1.3004
507;1.2982
510;1.2966
513;1.2948
516;1.2922
519;1.2899
522;1.2884
525;1.2873
528;1.2859
531;1.2842
534;1.2824
537;1.2812
540;1.2802
543;1.2787
546;1.2766
549;1.274
552;1.2722
555;1.2709
558;1.269
561;1.2667
564;1.2646
567;1.2629
570;1.2612
573;1.2595
576;1.258
579;1.257
582;1.2557
585;1.2545
588;1.2531
591;1.2515
594;1.2498
597;1.2484
600;1.2467
603;1.2453
606;1.2438
609;1.2421
612;1.2407
615;1.2388
618;1.2367
621;1.2349
624;1.2335
627;1.2319
630;1.2301
633;1.2287
636;1.2274
639;1.2262
642;1.2249
645;1.2234
648;1.2219
651;1.2201
654;1.2185
657;1.2165
660;1.2148
663;1.2132
666;1.2118
669;1.2104
672;1.2088
675;1.2074
678;1.2058
681;1.2042
684;1.2029
687;1.2013
690;1.1999
693;1.1983
696;1.1965
699;1.1947
702;1.1929
705;1.191
708;1.1895
711;1.1875
714;1.186
717;1.1845
720;1.1826
723;1.1807
726;1.179
729;1.1771
732;1.1755
735;1.1738
738;1.1722
741;1.1707
744;1.169
747;1.1669
750;1.1651
753;1.1635
756;1.162
759;1.1605
762;1.159
765;1.1575
768;1.1562
771;1.155
774;1.1536
777;1.152
780;1.15
783;1.1484
786;1.147
789;1.145
792;1.1433
795;1.1416
798;1.1398
801;1.1381
804;1.1364
807;1.1346
810;1.133
813;1.1316
816;1.13
819;1.1284
822;1.1273
825;1.1258
828;1.1239
831;1.1221
834;1.1203
837;1.1186
840;1.1171
843;1.1155
846;1.114
849;1.1123
852;1.1107
855;1.109
858;1.1072
861;1.1054
864;1.104
867;1.1028
870;1.1013
873;1.0992
876;1.0975
879;1.0958
882;1.0941
885;1.0923
888;1.0906
891;1.0889
894;1.0871
897;1.0858
900;1.0844
903;1.0828
906;1.0811
909;1.0791
912;1.0773
915;1.0756
918;1.074
921;1.0722
924;1.0707
927;1.069
930;1.0673
933;1.0656
936;1.064
939;1.0625
942;1.0609
945;1.0595
948;1.0582
951;1.0566
954;1.0548
957;1.0531
960;1.0516
963;1.05
966;1.0484
969;1.047
972;1.0452
975;1.0436
978;1.0418
981;1.0401
984;1.0382
987;1.0364
990;1.0348
993;1.0334
996;1.0318
999;1.0302
1002;1.0285
1005;1.0269
1008;1.0252
1011;1.0236
1014;1.0222
1017;1.0207
1020;1.0191
1023;1.0177
1026;1.0162
1029;1.0145
1032;1.0125
1035;1.0108
1038;1.0091
1041;1.0076
1044;1.0058
1047;1.0042
1050;1.0023
1053;1.0003
1056;0.9985
1059;0.9967
1062;0.9948
1065;0.9932
1068;0.992
1071;0.9906
1074;0.9888
1077;0.9873
1080;0.9858
1083;0.9842
1086;0.9826
1089;0.9811
1092;0.9797
1095;0.9779
1098;0.9758
1101;0.9743
1104;0.9733
1107;0.9717
1110;0.9697
1113;0.9678
1116;0.9662
1119;0.9644
1122;0.9627
1125;0.9613
1128;0.9598
1131;0.9583
1134;0.9569
1137;0.9554
1140;0.9538
1143;0.9524
1146;0.9508
1149;0.9493
1152;0.9471
1155;0.9455
1158;0.9443
1161;0.9431
1164;0.9413
1167;0.9396
1170;0.9377
1173;0.9361
1176;0.9342
1179;0.9327
1182;0.9313
1185;0.9298
1188;0.9283
1191;0.9269
1194;0.9252
1197;0.9238
1200;0.9225
1203;0.9211
1206;0.9196
1209;0.918
1212;0.916
1215;0.9139
1218;0.9125
1221;0.9112
1224;0.9095
1227;0.9076
1230;0.9059
1233;0.9041
1236;0.9023
1239;0.9011
1242;0.8998
1245;0.8983
1248;0.8968
1251;0.8952
1254;0.8938
1257;0.8926
1260;0.8913
1263;0.8897
1266;0.8877
1269;0.8861
1272;0.8845
1275;0.8832
1278;0.8817
1281;0.8801
1284;0.8781
1287;0.8764
1290;0.8748
1293;0.8733
1296;0.8718
1299;0.8702
1302;0.8688
1305;0.8674
1308;0.866
1311;0.8644
1314;0.8629
1317;0.8615
1320;0.8599
1323;0.8582
1326;0.8568
1329;0.8555
1332;0.8541
1335;0.8527
1338;0.8508
1341;0.8493
1344;0.8478
1347;0.8463
1350;0.8449
1353;0.8433
1356;0.8416
1359;0.8401
1362;0.8388
1365;0.8372
1368;0.8358
1371;0.8342
1374;0.8327
1377;0.8313
1380;0.8298
1383;0.8284
1386;0.8268
1389;0.8253
1392;0.8239
1395;0.8224
1398;0.8209
1401;0.8193
1404;0.8177
1407;0.8161
1410;0.8144
1413;0.813
1416;0.8119
1419;0.8103
1422;0.809
1425;0.8074
1428;0.806
1431;0.8046
1434;0.803
1437;0.8015
1440;0.8
1443;0.7987
1446;0.7972
1449;0.796
1452;0.7944
1455;0.793
1458;0.7917
1461;0.7902
1464;0.7888
1467;0.7872
1470;0.7858
1473;0.7843
1476;0.7828
1479;0.7814
1482;0.78
1485;0.7786
1488;0.777
1491;0.7756
1494;0.7742
1497;0.7729
1500;0.7715
1503;0.7701
1506;0.7686
1509;0.7672
1512;0.7657
1515;0.7645
1518;0.7629
1521;0.7614
1524;0.7598
1527;0.7585
1530;0.7571
1533;0.7556
1536;0.7542
1539;0.7529
1542;0.7515
1545;0.7501
1548;0.7487
1551;0.7472
1554;0.7459
1557;0.7445
1560;0.743
1563;0.7415
1566;0.7404
1569;0.7389
1572;0.7376
1575;0.7361
1578;0.7346
1581;0.7331
1584;0.7318
1587;0.7305
1590;0.7291
1593;0.7277
1596;0.7263
1599;0.7249
1602;0.7237
1605;0.7223
1608;0.721
1611;0.7196
1614;0.7182
1617;0.7169
1620;0.7156
1623;0.7142
1626;0.7129
1629;0.7114
1632;0.7101
1635;0.7087
1638;0.7073
1641;0.706
1644;0.7046
1647;0.7032
1650;0.7019
1653;0.7006
1656;0.6993
1659;0.698
1662;0.6969
1665;0.6955
1668;0.6942
1671;0.6927
1674;0.6913
1677;0.6901
1680;0.6889
1683;0.6877
1686;0.6863
1689;0.685
1692;0.6836
1695;0.6823
1698;0.681
1701;0.6797
1704;0.6784
1707;0.6771
1710;0.6758
1713;0.6745
1716;0.6732
1719;0.6719
1722;0.6706
1725;0.6693
1728;0.6681
1731;0.6669
1734;0.6656
1737;0.6643
1740;0.663
1743;0.6617
1746;0.6605
1749;0.6592
1752;0.6579
1755;0.6566
1758;0.6553
1761;0.654
1764;0.6527
1767;0.6515
1770;0.6502
1773;0.649
1776;0.6477
1779;0.6464
1782;0.6453
1785;0.644
1788;0.6426
1791;0.6414
1794;0.6401
1797;0.639
1800;0.6376
1803;0.6364
1806;0.6352
1809;0.6339
1812;0.6328
1815;0.6315
1818;0.6303
1821;0.6291
1824;0.6279
1827;0.6267
1830;0.6255
1833;0.6244
1836;0.6231
1839;0.6219
1842;0.6207
1845;0.6194
1848;0.6183
1851;0.6171
1854;0.6159
1857;0.6146
1860;0.6135
1863;0.6123
1866;0.611
1869;0.6099
1872;0.6087
1875;0.6076
1878;0.6063
1881;0.6053
1884;0.604
1887;0.6028
1890;0.6017
1893;0.6005
1896;0.5993
1899;0.5981
1902;0.5969
1905;0.5958
1908;0.5946
1911;0.5935
