time/fs 	 energy/h 	 kin energy/h 	 thermostat/h 	 SumE/h 	 T/K 
0.00000000e+00	-1.06793202e+03	5.00000000e-02	5.80384876e-02	-1067.8739815124	263.145854002831
5.00000000e-01	-1.06793085e+03	3.60410149e-02	6.08274915e-02	-1067.8700225085	189.68087289978513
1.00000000e+00	-1.06792868e+03	3.58122901e-02	5.86825275e-02	-1067.8699974725	188.4771132432326
1.50000000e+00	-1.06792573e+03	3.85745336e-02	5.30050328e-02	-1067.8727249672	203.014571738658
2.00000000e+00	-1.06792227e+03	4.11993497e-02	4.69553243e-02	-1067.8753146757	216.82876122335557
2.50000000e+00	-1.06791867e+03	4.29513410e-02	4.16258998e-02	-1067.8770441002	226.04934616023618
3.00000000e+00	-1.06791518e+03	4.45566838e-02	3.65382249e-02	-1067.8786417751	234.4981322017021
3.50000000e+00	-1.06791185e+03	4.62528723e-02	3.15062192e-02	-1067.8803437807999	243.4250316293477
4.00000000e+00	-1.06790855e+03	4.78788767e-02	2.65817143e-02	-1067.8819682857002	251.98255795835496
4.50000000e+00	-1.06790511e+03	4.91856494e-02	2.18321910e-02	-1067.883277809	258.85999432093666
5.00000000e+00	-1.06790136e+03	5.00180483e-02	1.72532450e-02	-1067.8841067550002	263.240840709167
5.50000000e+00	-1.06789722e+03	5.03810747e-02	1.27629166e-02	-1067.8844570834	265.1514185502385
6.00000000e+00	-1.06789272e+03	5.04236274e-02	8.24058961e-03	-1067.88447941039	265.37536988187094
6.50000000e+00	-1.06788801e+03	5.03862852e-02	3.59035921e-03	-1067.88441964079	265.1788409796841
7.00000000e+00	-1.06788336e+03	5.05639873e-02	-1.19881022e-03	-1067.8845588102201	266.114072396936
7.50000000e+00	-1.06787923e+03	5.13015737e-02	-6.02826501e-03	-1067.88525826501	269.9959284595135
8.00000000e+00	-1.06787618e+03	5.29562647e-02	-1.06969242e-02	-1067.8868769242	278.7044299856295
8.50000000e+00	-1.06787473e+03	5.56954822e-02	-1.48762310e-02	-1067.889606231	293.12070455236943
9.00000000e+00	-1.06787504e+03	5.91146280e-02	-1.80101495e-02	-1067.8930501495	311.1153853823933
