iState  State   lambda/nm    fe     S^2
1:    Singlet-A   504.75   0.8070   0.000
2:    Singlet-A   404.61   0.0001   0.000
3:    Singlet-A   358.81   0.2546   0.000
4:    Singlet-A   347.52   0.2414   0.000
5:    Singlet-A   322.42   0.0000   0.000
6:    Singlet-A   305.70   0.0307   0.000
7:    Singlet-A   304.88   0.0000   0.000
8:    Singlet-A   290.37   0.0108   0.000
9:    Singlet-A   286.87   0.2125   0.000
10:   Singlet-A   273.20   0.0035   0.000
11:   Singlet-A   266.86   0.0003   0.000
12:   Singlet-A   263.20   0.0648   0.000
13:   Singlet-A   248.93   0.0000   0.000
14:   Singlet-A   238.37   0.0140   0.000
15:   Singlet-A   232.44   0.0009   0.000
16:   Singlet-A   231.95   0.0107   0.000
17:   Singlet-A   230.52   0.0049   0.000
18:   Singlet-A   229.12   0.0001   0.000
19:   Singlet-A   226.60   0.0392   0.000
20:   Singlet-A   223.52   0.0002   0.000
21:   Singlet-A   218.81   0.0140   0.000
22:   Singlet-A   217.15   0.0273   0.000
23:   Singlet-A   212.52   0.0099   0.000
24:   Singlet-A   210.10   0.0001   0.000
25:   Singlet-A   208.59   0.0461   0.000
26:   Singlet-A   208.18   0.0024   0.000
27:   Singlet-A   203.04   0.0673   0.000
28:   Singlet-A   200.63   0.0738   0.000
29:   Singlet-A   198.35   0.0117   0.000
30:   Singlet-A   198.26   0.0820   0.000
