iState  State   lambda/nm    fe     S^2
1:    Singlet-A   509.70   0.8127   0.000
2:    Singlet-A   416.89   0.0001   0.000
3:    Singlet-A   360.49   0.2621   0.000
4:    Singlet-A   343.72   0.2389   0.000
5:    Singlet-A   321.69   0.0000   0.000
6:    Singlet-A   304.72   0.0000   0.000
7:    Singlet-A   301.73   0.0304   0.000
8:    Singlet-A   288.55   0.0149   0.000
9:    Singlet-A   283.63   0.1862   0.000
10:   Singlet-A   276.64   0.0165   0.000
11:   Singlet-A   269.96   0.0002   0.000
12:   Singlet-A   266.20   0.0671   0.000
13:   Singlet-A   251.36   0.0000   0.000
14:   Singlet-A   235.16   0.0097   0.000
15:   Singlet-A   234.07   0.0174   0.000
16:   Singlet-A   233.04   0.0044   0.000
17:   Singlet-A   231.24   0.0001   0.000
18:   Singlet-A   230.17   0.0173   0.000
19:   Singlet-A   226.36   0.0002   0.000
20:   Singlet-A   224.52   0.0296   0.000
21:   Singlet-A   218.80   0.0162   0.000
22:   Singlet-A   217.09   0.0281   0.000
23:   Singlet-A   214.57   0.0001   0.000
24:   Singlet-A   210.91   0.0212   0.000
25:   Singlet-A   209.66   0.0323   0.000
26:   Singlet-A   208.33   0.0019   0.000
27:   Singlet-A   205.91   0.0180   0.000
28:   Singlet-A   201.29   0.1294   0.000
29:   Singlet-A   199.54   0.0331   0.000
30:   Singlet-A   198.66   0.0033   0.000
