iState  State   lambda/nm    fe     S^2
1:    Singlet-A   504.41   0.8074   0.000
2:    Singlet-A   403.58   0.0001   0.000
3:    Singlet-A   358.67   0.2538   0.000
4:    Singlet-A   347.87   0.2419   0.000
5:    Singlet-A   322.51   0.0000   0.000
6:    Singlet-A   306.00   0.0307   0.000
7:    Singlet-A   304.86   0.0000   0.000
8:    Singlet-A   290.57   0.0135   0.000
9:    Singlet-A   287.10   0.2114   0.000
10:   Singlet-A   272.94   0.0032   0.000
11:   Singlet-A   266.63   0.0003   0.000
12:   Singlet-A   262.94   0.0643   0.000
13:   Singlet-A   248.72   0.0000   0.000
14:   Singlet-A   238.79   0.0139   0.000
15:   Singlet-A   232.87   0.0012   0.000
16:   Singlet-A   231.73   0.0104   0.000
17:   Singlet-A   230.23   0.0052   0.000
18:   Singlet-A   228.95   0.0001   0.000
19:   Singlet-A   226.54   0.0386   0.000
20:   Singlet-A   223.28   0.0002   0.000
21:   Singlet-A   218.82   0.0138   0.000
22:   Singlet-A   217.16   0.0271   0.000
23:   Singlet-A   212.66   0.0102   0.000
24:   Singlet-A   209.75   0.0001   0.000
25:   Singlet-A   208.47   0.0458   0.000
26:   Singlet-A   208.17   0.0027   0.000
27:   Singlet-A   202.94   0.0745   0.000
28:   Singlet-A   200.46   0.0669   0.000
29:   Singlet-A   198.37   0.0090   0.000
30:   Singlet-A   198.21   0.0925   0.000
