iState  State   lambda/nm    fe     S^2
1:    Singlet-A   487.42   0.6699   0.000
2:    Singlet-A   459.54   0.0001   0.000
3:    Singlet-A   358.88   0.2575   0.000
4:    Singlet-A   326.49   0.0000   0.000
5:    Singlet-A   320.09   0.1518   0.000
6:    Singlet-A   300.17   0.0006   0.000
7:    Singlet-A   296.34   0.0000   0.000
8:    Singlet-A   285.29   0.0001   0.000
9:    Singlet-A   282.96   0.0354   0.000
10:   Singlet-A   277.31   0.1484   0.000
11:   Singlet-A   273.66   0.0759   0.000
12:   Singlet-A   262.34   0.0308   0.000
13:   Singlet-A   259.19   0.0000   0.000
14:   Singlet-A   250.94   0.0041   0.000
15:   Singlet-A   241.55   0.0530   0.000
16:   Singlet-A   241.26   0.0002   0.000
17:   Singlet-A   237.42   0.0243   0.000
18:   Singlet-A   236.68   0.0002   0.000
19:   Singlet-A   232.58   0.0000   0.000
20:   Singlet-A   221.85   0.0074   0.000
21:   Singlet-A   221.24   0.0027   0.000
22:   Singlet-A   216.51   0.0694   0.000
23:   Singlet-A   213.50   0.0058   0.000
24:   Singlet-A   212.34   0.0355   0.000
25:   Singlet-A   209.81   0.0008   0.000
26:   Singlet-A   208.06   0.0002   0.000
27:   Singlet-A   207.22   0.0019   0.000
28:   Singlet-A   206.61   0.0056   0.000
29:   Singlet-A   201.68   0.0145   0.000
30:   Singlet-A   201.08   0.0027   0.000
