iState  State   lambda/nm    fe     S^2
1:    Singlet-A   478.95   0.8975   0.000
2:    Singlet-A   411.24   0.0000   0.000
3:    Singlet-A   353.90   0.2867   0.000
4:    Singlet-A   343.97   0.2667   0.000
5:    Singlet-A   326.15   0.0000   0.000
6:    Singlet-A   304.19   0.0000   0.000
7:    Singlet-A   302.15   0.0345   0.000
8:    Singlet-A   291.50   0.1073   0.000
9:    Singlet-A   281.26   0.1646   0.000
10:   Singlet-A   267.66   0.0342   0.000
11:   Singlet-A   264.32   0.0003   0.000
12:   Singlet-A   254.77   0.0207   0.000
13:   Singlet-A   247.27   0.0000   0.000
14:   Singlet-A   237.25   0.0070   0.000
15:   Singlet-A   231.97   0.0155   0.000
16:   Singlet-A   231.68   0.0103   0.000
17:   Singlet-A   228.54   0.0001   0.000
18:   Singlet-A   227.21   0.0064   0.000
19:   Singlet-A   226.76   0.0429   0.000
20:   Singlet-A   221.42   0.0001   0.000
21:   Singlet-A   217.70   0.0003   0.000
22:   Singlet-A   214.91   0.0000   0.000
23:   Singlet-A   214.74   0.0042   0.000
24:   Singlet-A   213.16   0.0709   0.000
25:   Singlet-A   207.66   0.0059   0.000
26:   Singlet-A   205.22   0.0033   0.000
27:   Singlet-A   204.62   0.0014   0.000
28:   Singlet-A   202.97   0.1278   0.000
29:   Singlet-A   199.97   0.0075   0.000
30:   Singlet-A   197.74   0.0603   0.000
