iState  State   lambda/nm    fe     S^2
1:    Singlet-A   485.02   0.8879   0.000
2:    Singlet-A   423.38   0.0000   0.000
3:    Singlet-A   355.80   0.3246   0.000
4:    Singlet-A   340.05   0.2639   0.000
5:    Singlet-A   323.86   0.0000   0.000
6:    Singlet-A   304.63   0.0000   0.000
7:    Singlet-A   298.34   0.0320   0.000
8:    Singlet-A   286.64   0.0675   0.000
9:    Singlet-A   280.95   0.1770   0.000
10:   Singlet-A   272.63   0.0283   0.000
11:   Singlet-A   267.00   0.0003   0.000
12:   Singlet-A   256.88   0.0223   0.000
13:   Singlet-A   250.67   0.0000   0.000
14:   Singlet-A   234.11   0.0199   0.000
15:   Singlet-A   232.12   0.0213   0.000
16:   Singlet-A   231.27   0.0015   0.000
17:   Singlet-A   230.53   0.0000   0.000
18:   Singlet-A   229.89   0.0353   0.000
19:   Singlet-A   225.13   0.0001   0.000
20:   Singlet-A   224.21   0.0134   0.000
21:   Singlet-A   219.55   0.0000   0.000
22:   Singlet-A   215.96   0.0002   0.000
23:   Singlet-A   215.21   0.0005   0.000
24:   Singlet-A   213.66   0.0691   0.000
25:   Singlet-A   209.19   0.0017   0.000
26:   Singlet-A   206.90   0.0003   0.000
27:   Singlet-A   203.99   0.0043   0.000
28:   Singlet-A   203.55   0.1393   0.000
29:   Singlet-A   203.13   0.0075   0.000
30:   Singlet-A   199.56   0.0321   0.000
