iState  State   lambda/nm    fe     S^2
1:    Singlet-A   456.13   0.7671   0.000
2:    Singlet-A   362.10   0.0080   0.000
3:    Singlet-A   355.96   0.1263   0.000
4:    Singlet-A   350.28   0.4115   0.000
5:    Singlet-A   316.97   0.0020   0.000
6:    Singlet-A   314.91   0.0157   0.000
7:    Singlet-A   309.38   0.0135   0.000
8:    Singlet-A   306.85   0.0064   0.000
9:    Singlet-A   306.52   0.1724   0.000
10:   Singlet-A   303.72   0.0230   0.000
11:   Singlet-A   295.28   0.0091   0.000
12:   Singlet-A   282.13   0.1285   0.000
13:   Singlet-A   269.95   0.0003   0.000
14:   Singlet-A   264.64   0.0000   0.000
15:   Singlet-A   260.91   0.0008   0.000
16:   Singlet-A   259.32   0.0003   0.000
17:   Singlet-A   256.93   0.0501   0.000
18:   Singlet-A   251.45   0.0140   0.000
19:   Singlet-A   246.94   0.0004   0.000
20:   Singlet-A   244.45   0.0059   0.000
21:   Singlet-A   243.37   0.0019   0.000
22:   Singlet-A   228.64   0.0119   0.000
23:   Singlet-A   226.10   0.0328   0.000
24:   Singlet-A   222.69   0.0231   0.000
25:   Singlet-A   222.58   0.0128   0.000
26:   Singlet-A   221.68   0.0048   0.000
27:   Singlet-A   219.66   0.0021   0.000
28:   Singlet-A   218.30   0.0008   0.000
29:   Singlet-A   214.93   0.0016   0.000
30:   Singlet-A   214.51   0.0053   0.000
