iState  State   lambda/nm    fe     S^2
1:    Singlet-A   478.54   0.8994   0.000
2:    Singlet-A   410.25   0.0000   0.000
3:    Singlet-A   353.78   0.2828   0.000
4:    Singlet-A   344.33   0.2677   0.000
5:    Singlet-A   326.34   0.0000   0.000
6:    Singlet-A   304.14   0.0000   0.000
7:    Singlet-A   302.46   0.0346   0.000
8:    Singlet-A   291.90   0.1102   0.000
9:    Singlet-A   281.28   0.1646   0.000
10:   Singlet-A   267.26   0.0345   0.000
11:   Singlet-A   264.12   0.0003   0.000
12:   Singlet-A   254.62   0.0206   0.000
13:   Singlet-A   246.98   0.0000   0.000
14:   Singlet-A   237.67   0.0072   0.000
15:   Singlet-A   232.28   0.0002   0.000
16:   Singlet-A   231.71   0.0252   0.000
17:   Singlet-A   228.38   0.0001   0.000
18:   Singlet-A   226.87   0.0071   0.000
19:   Singlet-A   226.62   0.0418   0.000
20:   Singlet-A   221.12   0.0001   0.000
21:   Singlet-A   217.84   0.0003   0.000
22:   Singlet-A   214.71   0.0048   0.000
23:   Singlet-A   214.53   0.0000   0.000
24:   Singlet-A   213.13   0.0707   0.000
25:   Singlet-A   207.54   0.0065   0.000
26:   Singlet-A   205.26   0.0041   0.000
27:   Singlet-A   204.56   0.0006   0.000
28:   Singlet-A   202.92   0.1265   0.000
29:   Singlet-A   199.66   0.0074   0.000
30:   Singlet-A   197.60   0.0669   0.000
