iState  State   lambda/nm    fe     S^2
1:    Singlet-A   546.40   0.0001   0.000
2:    Singlet-A   511.10   0.7435   0.000
3:    Singlet-A   377.10   0.3750   0.000
4:    Singlet-A   316.99   0.0004   0.000
5:    Singlet-A   307.73   0.0283   0.000
6:    Singlet-A   292.65   0.0477   0.000
7:    Singlet-A   284.51   0.0182   0.000
8:    Singlet-A   266.00   0.0583   0.000
9:    Singlet-A   245.37   0.0001   0.000
10:   Singlet-A   243.62   0.0152   0.000
11:   Singlet-A   234.35   0.0001   0.000
12:   Singlet-A   229.13   0.0004   0.000
13:   Singlet-A   228.44   0.0706   0.000
14:   Singlet-A   227.85   0.0594   0.000
15:   Singlet-A   217.30   0.0012   0.000
16:   Singlet-A   217.19   0.0102   0.000
17:   Singlet-A   211.75   0.0014   0.000
18:   Singlet-A   210.92   0.1072   0.000
19:   Singlet-A   209.33   0.0000   0.000
20:   Singlet-A   208.23   0.0140   0.000
21:   Singlet-A   202.65   0.0850   0.000
22:   Singlet-A   201.80   0.1077   0.000
23:   Singlet-A   199.38   0.0049   0.000
24:   Singlet-A   198.07   0.0381   0.000
25:   Singlet-A   197.99   0.1031   0.000
26:   Singlet-A   194.39   0.0009   0.000
27:   Singlet-A   194.16   0.0004   0.000
28:   Singlet-A   193.21   0.2551   0.000
29:   Singlet-A   190.68   0.0991   0.000
30:   Singlet-A   186.91   0.0000   0.000
