iState  State   lambda/nm    fe     S^2
1:    Singlet-A   515.28   0.0001   0.000
2:    Singlet-A   502.28   0.9210   0.000
3:    Singlet-A   385.54   0.0914   0.000
4:    Singlet-A   325.27   0.0369   0.000
5:    Singlet-A   316.09   0.0968   0.000
6:    Singlet-A   311.39   0.0003   0.000
7:    Singlet-A   301.73   0.0032   0.000
8:    Singlet-A   286.57   0.0607   0.000
9:    Singlet-A   274.03   0.0583   0.000
10:   Singlet-A   272.68   0.0000   0.000
11:   Singlet-A   262.03   0.0131   0.000
12:   Singlet-A   260.16   0.0812   0.000
13:   Singlet-A   236.63   0.2693   0.000
14:   Singlet-A   233.50   0.0000   0.000
15:   Singlet-A   232.18   0.0000   0.000
16:   Singlet-A   227.67   0.2481   0.000
17:   Singlet-A   224.67   0.1232   0.000
18:   Singlet-A   223.74   0.0058   0.000
19:   Singlet-A   223.71   0.0000   0.000
20:   Singlet-A   222.02   0.2492   0.000
21:   Singlet-A   217.18   0.0010   0.000
22:   Singlet-A   214.77   0.0044   0.000
23:   Singlet-A   211.51   0.0173   0.000
24:   Singlet-A   210.51   0.0212   0.000
25:   Singlet-A   209.10   0.0000   0.000
26:   Singlet-A   207.75   0.0028   0.000
27:   Singlet-A   205.34   0.0776   0.000
28:   Singlet-A   202.13   0.1109   0.000
29:   Singlet-A   201.52   0.1008   0.000
30:   Singlet-A   200.56   0.0006   0.000
