iState  State   lambda/nm    fe     S^2
1:    Singlet-A   442.55   0.8400   0.000
2:    Singlet-A   421.78   0.0000   0.000
3:    Singlet-A   348.11   0.2998   0.000
4:    Singlet-A   329.26   0.0001   0.000
5:    Singlet-A   293.19   0.0254   0.000
6:    Singlet-A   278.49   0.0799   0.000
7:    Singlet-A   267.26   0.0427   0.000
8:    Singlet-A   249.32   0.0258   0.000
9:    Singlet-A   233.46   0.0001   0.000
10:   Singlet-A   231.38   0.0142   0.000
11:   Singlet-A   228.65   0.0002   0.000
12:   Singlet-A   225.28   0.0324   0.000
13:   Singlet-A   219.38   0.0000   0.000
14:   Singlet-A   219.09   0.0727   0.000
15:   Singlet-A   213.65   0.0003   0.000
16:   Singlet-A   211.21   0.0002   0.000
17:   Singlet-A   208.28   0.2548   0.000
18:   Singlet-A   206.48   0.0013   0.000
19:   Singlet-A   201.57   0.0008   0.000
20:   Singlet-A   201.25   0.0023   0.000
21:   Singlet-A   201.18   0.0170   0.000
22:   Singlet-A   200.33   0.0157   0.000
23:   Singlet-A   199.77   0.0398   0.000
24:   Singlet-A   198.43   0.0009   0.000
25:   Singlet-A   195.34   0.1293   0.000
26:   Singlet-A   193.36   0.0454   0.000
27:   Singlet-A   192.46   0.0001   0.000
28:   Singlet-A   189.37   0.1000   0.000
29:   Singlet-A   188.67   0.0067   0.000
30:   Singlet-A   186.06   0.1290   0.000
