iState  State   lambda/nm    fe     S^2
1:    Singlet-A   474.00   0.6705   0.000
2:    Singlet-A   467.40   0.0000   0.000
3:    Singlet-A   356.69   0.3968   0.000
4:    Singlet-A   323.47   0.0000   0.000
5:    Singlet-A   315.98   0.1798   0.000
6:    Singlet-A   299.73   0.0080   0.000
7:    Singlet-A   297.78   0.0000   0.000
8:    Singlet-A   282.10   0.0002   0.000
9:    Singlet-A   279.15   0.1127   0.000
10:   Singlet-A   273.52   0.0429   0.000
11:   Singlet-A   268.06   0.0731   0.000
12:   Singlet-A   262.77   0.0000   0.000
13:   Singlet-A   262.16   0.0115   0.000
14:   Singlet-A   251.13   0.0025   0.000
15:   Singlet-A   242.59   0.0000   0.000
16:   Singlet-A   239.37   0.0772   0.000
17:   Singlet-A   239.14   0.0001   0.000
18:   Singlet-A   237.01   0.0277   0.000
19:   Singlet-A   234.99   0.0000   0.000
20:   Singlet-A   220.05   0.0064   0.000
21:   Singlet-A   217.86   0.0215   0.000
22:   Singlet-A   216.45   0.0015   0.000
23:   Singlet-A   214.78   0.0001   0.000
24:   Singlet-A   213.95   0.0331   0.000
25:   Singlet-A   211.07   0.0106   0.000
26:   Singlet-A   208.88   0.0000   0.000
27:   Singlet-A   206.66   0.0012   0.000
28:   Singlet-A   206.52   0.0048   0.000
29:   Singlet-A   203.60   0.1139   0.000
30:   Singlet-A   199.78   0.0028   0.000
