iState  State   lambda/nm    fe     S^2
1:    Singlet-A   402.47   0.0091   0.000
2:    Singlet-A   340.39   0.2034   0.000
3:    Singlet-A   331.99   0.0236   0.000
4:    Singlet-A   305.92   0.0000   0.000
5:    Singlet-A   294.90   0.0083   0.000
6:    Singlet-A   280.86   0.0116   0.000
7:    Singlet-A   277.38   0.5122   0.000
8:    Singlet-A   266.50   0.0005   0.000
9:    Singlet-A   263.61   0.0571   0.000
10:   Singlet-A   240.84   0.0176   0.000
11:   Singlet-A   240.40   0.0023   0.000
12:   Singlet-A   233.39   0.4268   0.000
13:   Singlet-A   231.84   0.0566   0.000
14:   Singlet-A   219.26   0.0083   0.000
15:   Singlet-A   218.29   0.1167   0.000
16:   Singlet-A   215.41   0.1455   0.000
17:   Singlet-A   209.65   0.0571   0.000
18:   Singlet-A   206.49   0.0045   0.000
19:   Singlet-A   204.08   0.0497   0.000
20:   Singlet-A   201.91   0.0021   0.000
21:   Singlet-A   199.81   0.0046   0.000
22:   Singlet-A   197.09   0.0057   0.000
23:   Singlet-A   195.67   0.0445   0.000
24:   Singlet-A   195.46   0.0167   0.000
25:   Singlet-A   193.72   0.0654   0.000
26:   Singlet-A   192.40   0.4068   0.000
27:   Singlet-A   191.46   0.1169   0.000
28:   Singlet-A   189.57   0.0766   0.000
29:   Singlet-A   188.18   0.0262   0.000
30:   Singlet-A   186.62   0.2063   0.000
