iState  State   lambda/nm    fe     S^2
1:    Singlet-A   409.02   0.0089   0.000
2:    Singlet-A   345.85   0.2132   0.000
3:    Singlet-A   330.15   0.0136   0.000
4:    Singlet-A   305.72   0.0001   0.000
5:    Singlet-A   296.08   0.0147   0.000
6:    Singlet-A   283.06   0.0033   0.000
7:    Singlet-A   278.88   0.5181   0.000
8:    Singlet-A   265.28   0.0005   0.000
9:    Singlet-A   264.21   0.0567   0.000
10:   Singlet-A   240.23   0.0082   0.000
11:   Singlet-A   239.08   0.0172   0.000
12:   Singlet-A   233.58   0.4064   0.000
13:   Singlet-A   232.14   0.0605   0.000
14:   Singlet-A   221.09   0.0012   0.000
15:   Singlet-A   218.88   0.0868   0.000
16:   Singlet-A   215.91   0.1651   0.000
17:   Singlet-A   211.81   0.0858   0.000
18:   Singlet-A   208.58   0.0051   0.000
19:   Singlet-A   204.96   0.0457   0.000
20:   Singlet-A   200.67   0.0015   0.000
21:   Singlet-A   198.45   0.0079   0.000
22:   Singlet-A   197.29   0.0001   0.000
23:   Singlet-A   195.64   0.0100   0.000
24:   Singlet-A   195.16   0.0554   0.000
25:   Singlet-A   193.46   0.0799   0.000
26:   Singlet-A   192.24   0.4329   0.000
27:   Singlet-A   191.55   0.1027   0.000
28:   Singlet-A   189.23   0.0528   0.000
29:   Singlet-A   188.06   0.0132   0.000
30:   Singlet-A   187.64   0.0224   0.000
