iState  State   lambda/nm    fe     S^2
1:    Singlet-A   409.66   0.0088   0.000
2:    Singlet-A   346.31   0.2116   0.000
3:    Singlet-A   329.90   0.0131   0.000
4:    Singlet-A   305.69   0.0001   0.000
5:    Singlet-A   296.20   0.0164   0.000
6:    Singlet-A   283.25   0.0027   0.000
7:    Singlet-A   278.87   0.5149   0.000
8:    Singlet-A   265.14   0.0005   0.000
9:    Singlet-A   264.24   0.0560   0.000
10:   Singlet-A   240.18   0.0079   0.000
11:   Singlet-A   238.88   0.0181   0.000
12:   Singlet-A   233.55   0.4008   0.000
13:   Singlet-A   232.13   0.0605   0.000
14:   Singlet-A   221.27   0.0010   0.000
15:   Singlet-A   218.94   0.0814   0.000
16:   Singlet-A   215.93   0.1666   0.000
17:   Singlet-A   212.02   0.0912   0.000
18:   Singlet-A   208.79   0.0052   0.000
19:   Singlet-A   205.06   0.0447   0.000
20:   Singlet-A   200.53   0.0015   0.000
21:   Singlet-A   198.37   0.0081   0.000
22:   Singlet-A   197.44   0.0000   0.000
23:   Singlet-A   195.46   0.0122   0.000
24:   Singlet-A   195.05   0.0524   0.000
25:   Singlet-A   193.40   0.0744   0.000
26:   Singlet-A   192.16   0.4366   0.000
27:   Singlet-A   191.52   0.0995   0.000
28:   Singlet-A   189.17   0.0526   0.000
29:   Singlet-A   188.17   0.0120   0.000
30:   Singlet-A   187.65   0.0214   0.000
